project_id,status,em_id,ae_id,integration_phase,integration_layer,begruendung,skip_edges,em_zuordnung_pruefung,ae_zuordnung_pruefung,belegkonfidenz,em_extraktionsstatus,ae_extraktionsstatus
p_resource_rows_copenhagen,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Brick/stone harvest map,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_roots_in_the_sky_blackfriars_crown_court,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Rooftop reclaimed structure,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_resilience_la_ferme_des_possibles_stains,matched,em_building_transformation,ae_didactic_circularity,midway,envelope,Ferme didactic,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_saxum_vineyard_equipment_barn_paso_robles,matched,em_spolia_design,ae_cultural_continuity_spolia,midway,envelope,Equipment barn spolia,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_schaerenmoosstrasse_zuerich,matched,,,,,Low/DoNotExtract,true,True,True,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_stuttgart_210,unmatched_no_projekt,,,,,,true,,,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_superlocal_expogebouw_bleijerheide,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,SUPERLOCAL brick reuse,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_svanen_kindergarten_gladsaxe,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Kindergarten transformation,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_the_green_house_utrecht,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Green House fit-out,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_thoravej_29_copenhagen,matched,em_building_transformation,ae_exposed_reuse_structure,early,structure,Factory shell + structure,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_timber_square_london,matched,em_building_transformation,ae_exposed_reuse_structure,early,structure,Retained frame timber,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_trae_high_rise_aarhus,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Reclaimed timber high-rise,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_umar_unit,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,UMAR unit,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_upcycle_studios_copenhagen,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Upcycled concrete stock,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_verbiest_karreveld_brussels,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Brussels conversion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_villa_welpeloo_enschede,matched,em_design_with_stock,ae_interior_reuse_atmosphere,late,interior,Welpeloo material scouting,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_woongroep_boschgaard_den_bosch,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Housing transformation,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_zinneke_feder_masui4ever_brussels,matched,em_building_transformation,ae_patchwork_envelope,midway,envelope,Brussels patchwork project,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
