entity_type,file,raw_value,matched_nodes
Methode,Liander_Alliander_HQ_Duiven.md,Circular Design / Materialwiederverwendung / adaptive reuse,Building_Material_Scouting | Design_for_Disassembly
Material,Liander_Alliander_HQ_Duiven.md,"Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien",Beton | Sekundaerstahl | Stahl | Stahl_Verbindungen | Glas | Holz | Holz_Verbindungen
Reuse_Strategie,Liander_Alliander_HQ_Duiven.md,adaptive reuse + partielle Bauteil-/Materialwiederverwendung,Adaptives_ReUse | Direkte_Wiederverwendung
Kennwert,Liander_Alliander_HQ_Duiven.md,"BREEAM / Energiekennwerte publiziert, Direct-Reuse-Mengen unbekannt",Datenluecke | Graue_Energie
Bauteil,Maison_des_Canaux_Paris.md,"Sanitär, Türen, Beläge, Fliesen, Holz, feste Ausstattung",Feuerschutztuer | Sanitaerobjekt
Bauteil,Maison_Vignette_Auderghem.md,Wandfliesen aus Solvay-Gebäude,Wand | Datenluecke
Bauteil,Recypark_Demets_Anderlecht.md,Brettschichtholzbögen / glulam arches,Brettschichtholzstuetze | Pfette | Stuetze | Traeger
Material,Resilience_La_Ferme_des_Possibles_Stains.md,"Holz, Stroh, Erde, BTC, Granit, Gussradiatoren",Stroh | Holz | Holz_Verbindungen
Material,Resource_Rows_Copenhagen.md,Ziegel / Mauerwerk; Holz sekundär möglich,Holz | Holz_Verbindungen
Material,Roots_in_the_Sky_Blackfriars_Crown_Court.md,Stahl,Sekundaerstahl | Stahl | Stahl_Verbindungen
Material,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md,"Stahlrohr, reclaimt",Sekundaerstahl | Stahl
Bauteil,Superlocal_Expogebouw_Bleijerheide.md,"Aluminiumrohre, Heizkörper, Plattenmaterial, Fensterrahmen, Haustüren, Geländer, Brüstungen, Küche",Fenster | Feuerschutztuer
Material,Superlocal_Expogebouw_Bleijerheide.md,"Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial",Beton | Holz | Holz_Verbindungen
Methode,Svanen_Kindergarten_Gladsaxe.md,Material mapping vor Abbruch,Bauteilkatalogisierung | Materialinventur
Logistik,Svanen_Kindergarten_Gladsaxe.md,on-site storage / temporäres Materialdepot,Lagerung | Zwischenlagerung
Tragwerkssystem,The_Green_House_Utrecht.md,demontables Stahlrahmen-System aus galvanisierten Profilen,Betonfertigteil_System | Stahl_Skelettbau
Bauteil,Thoravej_29_Copenhagen.md,TT-Decken / Betondecken,Betonfertigteil | Deckenplatte
Material,Timber_Square_London.md,CLT und Stahl,Sekundaerstahl | Stahl | Stahl_Verbindungen
Pruefung,Timber_Square_London.md,"fire testing, acoustics, insurance, vibration performance at scale",Abbrandbemessung | Brandnachweis
Pruefung,TRAE_High_Rise_Aarhus.md,Full-scale fire tests / DBI-Tests,Abbrandbemessung | Brandnachweis
Material,Verbiest_Karreveld_Brussels.md,"Holz, massive Holzbalken/Platten Verbiest",Holz | Holz_Verbindungen
Abbruchmethode,Verbiest_Karreveld_Brussels.md,sehr begrenzte Demolition / selective deconstruction,Selektiver_Rueckbau | Zerstoerungsarme_Bergung
Material,Villa_Welpeloo_Enschede.md,"Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe",Sekundaerstahl | Stahl | Stahl_Verbindungen | Holz | Holz_Verbindungen
Methode,Villa_Welpeloo_Enschede.md,Harvest Map / Materialscouting,Bauteilkatalogisierung | Materialinventur
Bauteil,Woongroep_Boschgaard_Den_Bosch.md,Holz-Dachspanten / Brettschichtholz-Kniespanten,Brettschichtholzstuetze | Pfette | Stuetze | Traeger
Tragwerkssystem,Areal_Walkeweg_Nord.md,Skelettbau,Holz_Skelettbau | Stahl_Skelettbau
Material,Bestandshalle_CRCLR_House.md,Holz,Holz | Holz_Verbindungen
Material,BOELL_LAB_Berlin.md,Holz,Holz | Holz_Verbindungen
Methode,ReUseBox_Heilbronn.md,Bauteilpass,Bauteilkatalogisierung | Materialinventur
