file,line,category,snippet,recommended_action
_scripts/harvest_project_images.py,44,image-pipeline,"MATCH (p:Projekt) ...","Programme nodes may have hero images too. Decide per scope."
_scripts/scratch/find_project_ids.py,16,scratch,"MATCH (p:Projekt) WHERE p.quality_tier='tier_1_decision_grade'","scratch/ — annotate only. Not part of pipeline."
_scripts/scratch/receiver_showcase_one_project.py,32,scratch,"MATCH (p:Projekt {id:$pid}) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,44,scratch,"MATCH (p:Projekt {id:$pid})-[:LIEGT_IN_LAND]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,45,scratch,"MATCH (p:Projekt {id:$pid})-[:LIEGT_IN_STADT]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,46,scratch,"MATCH (p:Projekt {id:$pid})-[:TEIL_VON_PROGRAMM]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,47,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_INTERVENTION]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,48,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_WIEDERVERWENDUNGSART]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,49,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_STATUS]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,50,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_NUTZUNG]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,51,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_METHODE]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,52,scratch,"MATCH (p:Projekt {id:$pid})-[:NUTZT_BAUWERK]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,53,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_HUERDE]->(n) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,61,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_BAUTEILGRUPPE]->(bg:Bauteilgruppe) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,83,scratch,"MATCH (p:Projekt {id:$pid})<-[:BETEILIGT_AN]-(a:Akteur) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,96,scratch,"MATCH (p:Projekt {id:$pid})-[:HAT_KENNWERT]->(k:Kennwert) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,109,scratch,"MATCH (p:Projekt {id:$pid})-[:BELEGT_IN]->(q:Quelle) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,122,scratch,"MATCH (p:Projekt {id:$pid})-[:BELEGT_IN]->(d:Dossier) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_one_project.py,132,scratch,"MATCH (p:Projekt {id:$pid})-[:CONCERNS]-(di:DataIssue) ...","scratch/ — annotate only."
_scripts/scratch/receiver_showcase_probe.py,38-555,scratch,"~40 MATCH (p:Projekt) queries in receiver_showcase_probe.py","scratch/ — annotate only."
_scripts/batch2_v2_generators/_generate_phase10_huerde_wirtschaft.py,54,historical-generator,"# Stuttgart 210 (the parent Programm; will reach via merged dual-label :Projekt)","Comment only. Historical generator — DO NOT modify."
_scripts/resolve_reuse_project_candidates.py,9-267,this-run,"new resolver references :Projekt|:Programm|:Tool|:Methode|:Marktmodell in docstring + duplicate cluster query","New script for this cleanup run. Already label-union aware. No action."
