canonical_name,node_id,n_files,n_variants,variants,files
Spender: Massenwohnungsbau / Plattenbau,Spender_Massenwohnungsbau_Plattenbau,1,1,Spender: Massenwohnungsbau / Plattenbau,Broethen_Twin_House_Hoyerswerda.md
ehemalige Zigarettenfabrik,Ehemalige_Zigarettenfabrik,1,1,ehemalige Zigarettenfabrik,Charles_Malis_Molenbeek.md
Sanitärpavillon neben alter Farm,Sanitaerpavillon_Neben_Alter_Farm,1,1,Sanitärpavillon neben alter Farm,Chiro_d_Itterbeek_Dilbeek.md
Christus-Pavillon,Christus_Pavillon,1,1,Christus-Pavillon,Christ_Pavilion_Volkenroda.md
"Circulair Centrum Nederland, Heerde",Circulair_Centrum_Nederland_Heerde,1,1,"Circulair Centrum Nederland, Heerde",Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
"Prinsenhof A, Arnhem",Prinsenhof_A_Arnhem,1,1,"Prinsenhof A, Arnhem",Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
ehemaliges Coop-Verteilzentrum / Großbäckerei,Ehemaliges_Coop_Verteilzentrum_Grossbaeckerei,1,1,ehemaliges Coop-Verteilzentrum / Großbäckerei,ELYS_Kultur_Gewerbehaus_Basel.md
Europa Building mit Residence Palace Block A,Europa_Building_Mit_Residence_Palace_Block_A,1,1,Europa Building mit Residence Palace Block A,Europa_Building_Brussels.md
Neubauensemble,Neubauensemble,1,1,Neubauensemble,Ferme_du_Rail_Paris.md
ehemalige elektrische Werkstatt der Société Métallurgique de Normandie,Ehemalige_Elektrische_Werkstatt_Der_Soci_T_M_Tallurgique_De_Normandie,1,1,ehemalige elektrische Werkstatt der Société Métallurgique de Normandie,Grande_Halle_de_Colombelles.md
ehemaliges Fabrik-/Gewerbe-/Schlossereigebäude,Ehemaliges_Fabrik_Gewerbe_Schlossereigebaeude,1,1,ehemaliges Fabrik-/Gewerbe-/Schlossereigebäude,Grubenstrasse_29_Werkhof_29_Zuerich.md
Härmälänrannan Ernst,Haermaelaenrannan_Ernst,1,1,Härmälänrannan Ernst,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Hastings Pier / Visitor Centre,Hastings_Pier_Visitor_Centre,1,1,Hastings Pier / Visitor Centre,Hastings_Pier_Visitor_Centre.md
Mehrfamilienhaus,Mehrfamilienhaus,1,1,Mehrfamilienhaus,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Spender: Rückbaustelle Leinefelde,Spender_Rueckbaustelle_Leinefelde,1,1,Spender: Rückbaustelle Leinefelde,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
1980er-Jahre Bürogebäude,1980er_Jahre_Buerogebaeude,1,1,1980er-Jahre Bürogebäude,Holbein_Gardens_London.md
318 Oxford Street / former House of Fraser / The Elephant,318_Oxford_Street_Former_House_Of_Fraser_The_Elephant,1,1,318 Oxford Street / former House of Fraser / The Elephant,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
TBC.London / Tower Bridge Court,Tbc_London_Tower_Bridge_Court,1,1,TBC.London / Tower Bridge Court,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
"CRCLR House, ehemalige Kindl-Brauerei",Crclr_House_Ehemalige_Kindl_Brauerei,1,1,"CRCLR House, ehemalige Kindl-Brauerei",Impact_Hub_Berlin_CRCLR_Fitout.md
Institut de Botanique de l’ULg,Institut_De_Botanique_De_L_Ulg,1,1,Institut de Botanique de l’ULg,Institut_de_Botanique_ULg_Liege.md
ehemaliges Districtskantoor Rijkswaterstaat Terneuzen,Ehemaliges_Districtskantoor_Rijkswaterstaat_Terneuzen,1,1,ehemaliges Districtskantoor Rijkswaterstaat Terneuzen,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
bestehender Emergis-Bestand Kloetinge,Bestehender_Emergis_Bestand_Kloetinge,1,1,bestehender Emergis-Bestand Kloetinge,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
bestehende Industriehalle Halle 118,Bestehende_Industriehalle_Halle_118,1,1,bestehende Industriehalle Halle 118,K118_Kopfbau_Halle_118_Winterthur.md
Bürogebäude mit Umbau und Erweiterung,Buerogebaeude_Mit_Umbau_Und_Erweiterung,1,1,Bürogebäude mit Umbau und Erweiterung,KA13_Kristian_Augusts_gate_13_Oslo.md
Kamikatsu Zero Waste Center „WHY“,Kamikatsu_Zero_Waste_Center_Why,1,1,Kamikatsu Zero Waste Center „WHY“,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Werkhof Mööslistrasse,Werkhof_Moeoeslistrasse,1,1,Werkhof Mööslistrasse,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Büro-/Campuskomplex,Buero_Campuskomplex,1,1,Büro-/Campuskomplex,Liander_Alliander_HQ_Duiven.md
Rathaus Lo-Reninge / ehemaliges Kloster,Rathaus_Lo_Reninge_Ehemaliges_Kloster,1,1,Rathaus Lo-Reninge / ehemaliges Kloster,Lo_Reninge_Town_Hall_Facade.md
kleiner Technikbau + Personalräume „space within a space“,Kleiner_Technikbau_Personalraeume_Space_Within_A_Space,1,1,kleiner Technikbau + Personalräume „space within a space“,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"Lycée Michel Lucius Campus, Flügel 3000 und 6000",Lyc_E_Michel_Lucius_Campus_Fluegel_3000_Und_6000,1,1,"Lycée Michel Lucius Campus, Flügel 3000 und 6000",Lycee_Michel_Lucius_Conversion_Luxembourg.md
Bestandsgebäude am Canal,Bestandsgebaeude_Am_Canal,1,1,Bestandsgebäude am Canal,Maison_des_Canaux_Paris.md
Spender: abgerissener Marzahner Elfgeschosser,Spender_Abgerissener_Marzahner_Elfgeschosser,1,1,Spender: abgerissener Marzahner Elfgeschosser,Mehrow_Pilot_House.md
Grundschule und Kita,Grundschule_Und_Kita,1,1,Grundschule und Kita,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Suutarila community centre,Suutarila_Community_Centre,1,1,Suutarila community centre,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Montessorischool Maassluis,Montessorischool_Maassluis,1,1,Montessorischool Maassluis,Montessori_Maassluis.md
ehemaliger Philips Tower / Brouckère Tower,Ehemaliger_Philips_Tower_Brouck_Re_Tower,1,1,ehemaliger Philips Tower / Brouckère Tower,Multi_Brussels_Reuse_in_MULTI.md
Musée de Folklore Vie Frontalière,Mus_E_De_Folklore_Vie_Frontali_Re,1,1,Musée de Folklore Vie Frontalière,Musee_de_Folklore_Mouscron.md
Kleinsthaus / Galerie / experimenteller Wohnraum,Kleinsthaus_Galerie_Experimenteller_Wohnraum,1,1,Kleinsthaus / Galerie / experimenteller Wohnraum,Plattenpalast_Berlin.md
vollständig de- und remontierbares Recycling-Gebäude,Vollstaendig_De_Und_Remontierbares_Recycling_Gebaeude,1,1,vollständig de- und remontierbares Recycling-Gebäude,Plattenvereinigung_Berlin.md
The White Chapel Building,The_White_Chapel_Building,1,1,The White Chapel Building,PLP_London_HQ_Circular_Studio_Fitout.md
ehemalige Reithalle / riding arena / horse riding school,Ehemalige_Reithalle_Riding_Arena_Horse_Riding_School,1,1,ehemalige Reithalle / riding arena / horse riding school,Recypark_Demets_Anderlecht.md
"Neubau, bioklimatisches Betriebs-/Bürogebäude",Neubau_Bioklimatisches_Betriebs_Buerogebaeude,1,1,"Neubau, bioklimatisches Betriebs-/Bürogebäude",Resilience_La_Ferme_des_Possibles_Stains.md
Wohngebäude / Wohnquartier,Wohngebaeude_Wohnquartier,1,1,Wohngebäude / Wohnquartier,Resource_Rows_Copenhagen.md
"Former Blackfriars Crown Court, 1 Pocock Street / Loman Street, Southwark",Former_Blackfriars_Crown_Court_1_Pocock_Street_Loman_Street_Southwark,1,1,"Former Blackfriars Crown Court, 1 Pocock Street / Loman Street, Southwark",Roots_in_the_Sky_Blackfriars_Crown_Court.md
Agricultural storage / equipment barn,Agricultural_Storage_Equipment_Barn,1,1,Agricultural storage / equipment barn,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Expogebouw / Superlocal Pavilion,Expogebouw_Superlocal_Pavilion,1,1,Expogebouw / Superlocal Pavilion,Superlocal_Expogebouw_Bleijerheide.md
Hochhausflat Ursulastraat,Hochhausflat_Ursulastraat,1,1,Hochhausflat Ursulastraat,Superlocal_Expogebouw_Bleijerheide.md
ehemalige Gladsaxe School,Ehemalige_Gladsaxe_School,1,1,ehemalige Gladsaxe School,Svanen_Kindergarten_Gladsaxe.md
The Green House,The_Green_House,1,1,The Green House,The_Green_House_Utrecht.md
Industrie-/Fabrikgebäude von 1967/1968,Industrie_Fabrikgebaeude_Von_1967_1968,1,1,Industrie-/Fabrikgebäude von 1967/1968,Thoravej_29_Copenhagen.md
Print Building und Ink Building,Print_Building_Und_Ink_Building,1,1,Print Building und Ink Building,Timber_Square_London.md
78 m / 20-geschossiges Holzhochhaus,78_M_20_Geschossiges_Holzhochhaus,1,1,78 m / 20-geschossiges Holzhochhaus,TRAE_High_Rise_Aarhus.md
Reihenhausensemble,Reihenhausensemble,1,1,Reihenhausensemble,Upcycle_Studios_Copenhagen.md
Verbiest,Verbiest,1,1,Verbiest,Verbiest_Karreveld_Brussels.md
Karreveld,Karreveld,1,1,Karreveld,Verbiest_Karreveld_Brussels.md
Wohnhaus mit Ausstellungs-/Kunstlagerfunktion,Wohnhaus_Mit_Ausstellungs_Kunstlagerfunktion,1,1,Wohnhaus mit Ausstellungs-/Kunstlagerfunktion,Villa_Welpeloo_Enschede.md
ehemaliges Nachbarschaftszentrum De Patio + neue Wohnbauten,Ehemaliges_Nachbarschaftszentrum_De_Patio_Neue_Wohnbauten,1,1,ehemaliges Nachbarschaftszentrum De Patio + neue Wohnbauten,Woongroep_Boschgaard_Den_Bosch.md
ehemalige Werkstätten / ehemaliger Gebäudekomplex des Finanzministeriums,Ehemalige_Werkstaetten_Ehemaliger_Gebaeudekomplex_Des_Finanzministeriums,1,1,ehemalige Werkstätten / ehemaliger Gebäudekomplex des Finanzministeriums,Zinneke_Feder_Masui4ever_Brussels.md
Hobelwerk_Haus_D_Oberwinterthur,Hobelwerk_Haus_D_Oberwinterthur,1,1,Hobelwerk_Haus_D_Oberwinterthur,Altes_Hobelwerk_Winterthur.md
K118_Kopfbau_Halle_118_Winterthur,K118_Kopfbau_Halle_118_Winterthur,1,1,K118_Kopfbau_Halle_118_Winterthur,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md
Altes_Hobelwerk_Winterthur,Altes_Hobelwerk_Winterthur,1,1,Altes_Hobelwerk_Winterthur,Hobelwerk_Haus_D_Oberwinterthur.md
Bestandshalle_CRCLR_House,Bestandshalle_Crclr_House,1,1,Bestandshalle_CRCLR_House,Kindl_Areal.md
Areal_Walkeweg_Nord,Areal_Walkeweg_Nord,1,1,Areal_Walkeweg_Nord,Lysbuechel_Parkhaus.md
