slug,title,action,countries,operator,platform_type,url_count,uncertain_sections,semantic_matches,candidate_roles,candidate_model
gebruiktebouwmaterialen-gbm,Gebruiktebouwmaterialen.com / GBM,update_existing_materialhub_actor,Niederlande,Gebruiktebouwmaterialen.com / GBM,Online-Shop für gebrauchte und zirkuläre Baumaterialien,4,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,gebruiktebouwmaterialen,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
genbyg,Genbyg,create_new_materialhub_actor,Dänemark,Genbyg A/S,Webshop und Markt für gebrauchte Baumaterialien mit physischem Lager,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
globechain,Globechain,create_new_materialhub_actor,Vereinigtes Königreich,Globechain,ESG-Reuse-Marketplace mit interner/externer Wiederverwendung und Construction-Vertical,4,Daten je Bauteil; Geschäftsmodell,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade
insert-marketplace,Insert Marketplace,create_new_materialhub_actor,Niederlande,Insert; genaue Betreiberstruktur nicht angegeben,Online-Marktplatz für wiederverwendbare Materialien aus Bau und öffentlichem Raum,2,Betreiber; Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
loopfront,Loopfront,create_new_materialhub_actor,Norwegen; Europa,Loopfront,"digitale Reuse-Plattform mit Inventar, Material Tracking und Marketplace-Funktionen",5,Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
material-index,Material Index,create_new_materialhub_actor,Vereinigtes Königreich,Material Index,"professionelle Reuse-Plattform mit Audits, Inventar, Materialpässen, Brokerage und B2B-Marketplace",5,,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
material-reuse-portal,Material Reuse Portal,create_new_materialhub_actor,Vereinigtes Königreich,CIRCuIT-/ReLondon-Kontext; konkreter laufender Betreiber nicht vollständig angegeben,Aggregator/Portal für wiederverwendbare Bau- und Abbruchmaterialien,4,Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
materialenbank-leuven-atelier-circuler,Materialenbank Leuven / Atelier Circuler,create_new_materialhub_actor,Belgien,Atelier Circuler vzw; auf Initiative und mit Unterstützung der Stadt Leuven; Zusammenarbeit mit Wonen en Werken,Materialbank mit Online-Katalog und physischem Lager,5,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
materialrest24,Materialrest24,create_new_materialhub_actor,Deutschland,materialrest24.de; Gründung laut Medienberichten durch Simon Schlögl; aktuelle Rechtsform nicht angegeben,"Online-Marktplatz für Materialreste, Restbestände und Bauartikel",3,Betreiber; Daten je Bauteil; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
oogstkaart-new-horizon,Oogstkaart / New Horizon,update_existing_materialhub_actor,Niederlande,Oogstkaart ursprünglich von Superuse Studios entwickelt; später von New Horizon übernommen/adoptiert,Harvest Map / digitale Materialkarte und Marktplatzansatz für wiederverwendbare Materialien,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,new_horizon,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik,Akteur; Software_or_Tool_facade
r-place,R-Place,create_new_materialhub_actor,Frankreich,R-Place,B2B-Plattform für Wiederverwendung von Baumaterialien,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
raedificare,RAEDIFICARE,create_new_materialhub_actor,Frankreich,RAEDIFICARE,"Marketplace für Materialien aus Bau, öffentlichem Bauwesen und Landschaftsbau",3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
re-store-harvestmap-vienna,re:store / HarvestMAP Vienna,create_platform_node_link_existing_operator,Österreich,materialnomaden / HarvestMAP-Bezug laut Quellen; genaue Betreiberangaben über Impressum prüfen,Online-Store / urban-mining-orientierte Wiederverkaufsplattform mit physischer Materialbasis,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,materialnomaden,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
reempro,Réempro,create_new_materialhub_actor,Frankreich,Réempro,Marketplace für Wiederverwendungsmaterialien,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
resource-marktplaats,ReSource Marktplaats,create_new_materialhub_actor,Niederlande,"nicht angegeben; App-Store/Google-Play-Quellen nennen die App, Betreiber nicht eindeutig im Quellenstand",App/Marktplatz für zirkuläre Baumaterialien,2,Betreiber; Bauteilkategorien; Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung; Schwächen / Hemmnisse,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
restado,Restado,link_existing_software_to_existing_operator,Deutschland; Europa,Concular GmbH; restado ist laut Impressum eine Marke der Concular GmbH,digitaler B2B-Marktplatz / Online-Shop für zirkuläre Baustoffe,5,Geschäftsmodell; Ökologische Bewertung,software_restado; concular,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
reuse-and-trade,ReUse and Trade,create_new_materialhub_actor,Deutschland,nicht angegeben,digitale Reuse-Börse / Online-Listings für wiederverwendbare Produkte,3,Betreiber; Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung; Schwächen / Hemmnisse,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
rotordc,RotorDC,update_existing_materialhub_actor,Belgien,"Rotor Deconstruction, eine Brüsseler Kooperative",Webshop plus physisches Wiederverwendungslager und Demontage-/Aufbereitungsdienstleister,4,Qualität / Prüfung; Ökologische Bewertung,rotordc; det_7c6759362a3b995a63d42545,ar_materiallieferung_markt; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Materialdepot_or_physical_inventory
salvoweb,SalvoWEB,create_platform_node_link_existing_operator,Vereinigtes Königreich,Salvo,Marktplatz und Händlerverzeichnis für Architectural Salvage und reclaimed building materials,3,Geschäftsmodell; Ökologische Bewertung,salvo_ltd,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
salza,Salza,create_new_materialhub_actor,Schweiz,Salza; genaue Rechtsform nicht angegeben,Bauteildatenbank/Plattform plus Beratung und Rückbau-/Bauteil-Sourcing,3,Betreiber; Daten je Bauteil; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
skop-marketplace,Skop Marketplace,create_new_materialhub_actor,Frankreich,Skop,Marketplace für Reuse- und Reconditioned-Baustoffe,3,Daten je Bauteil; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
surplus-building-and-plumbing-materials,Surplus Building & Plumbing Materials,create_new_materialhub_actor,Vereinigtes Königreich,Surplus Building & Plumbing Materials / surplusbuildingsupplies.co.uk,Marketplace für surplus building and plumbing supplies,3,Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
sustainability-yard,Sustainability Yard,create_new_materialhub_actor,Vereinigtes Königreich,Sustainability Yard,"App-/Web-Marktplatz für überschüssige, reclaimed und nachhaltige Baumaterialien",4,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
useagain-bauteilclick,useagain / Bauteilclick,create_new_materialhub_actor,Schweiz,useagain; genaue Rechtsform nicht angegeben,"digitale Vermittlungs- und Austauschplattform für gebrauchte Bauteile, Materialien und Möbel",4,Betreiber; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Materialdepot_or_physical_inventory
warp-it,Warp It,create_new_materialhub_actor,Vereinigtes Königreich,Warp It,Ressourcen-Redistribution-Netzwerk / Organisationsplattform,4,Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Materialdepot_or_physical_inventory
