code	name_de	name_en	definition_de
A3.2	Fehlerhafte Daten	Inaccurate data	Daten enthalten falsche Werte.
A3.3	Veraltete Daten	Outdated data	Daten sind nicht mehr aktuell.
A3.4	Inkonsistente Daten	Inconsistent data	Daten widersprechen sich zwischen Quellen.
A3.5	Ungültige Daten	Invalid data	Daten verletzen erwartete Formate oder Regeln.
A3.6	Ungeprüfte Daten	Unverified data	Daten wurden nicht geprüft oder verifiziert.
A3.7	Fehlende Provenienz	Missing provenance	Die Provenienz der Daten ist nicht dokumentiert.
A3.8	Unklares Konfidenzniveau	Unclear confidence level	Das Konfidenzniveau der Daten ist nicht angegeben.
A3.9	Unklare Messmethode	Unclear measurement method	Die verwendete Messmethode ist nicht angegeben.
A4	Informations-Lebenszyklus-Management	Information lifecycle management	Erfassung, Pflege, Versionierung und Erhalt von Daten über den Lebenszyklus.
A4.1	Erschwerte Datenerfassung	Difficult data capture	Die Erfassung von Bauteildaten ist aufwendig.
A4.2	Erschwerte Datentransformation	Difficult data transformation	Die Umwandlung von Daten zwischen Formaten ist aufwendig.
A4.3	Duplikat-Datensätze	Duplicate records	Dasselbe Bauteil ist mehrfach erfasst.
A4.4	Schwache Versionskontrolle	Weak version control	Versionen von Datensätzen werden kaum kontrolliert.
A4.5	Schwache Änderungsverfolgung	Weak change tracking	Änderungen an Daten werden kaum nachverfolgt.
A4.6	Fehlende Lebenszyklus-Aktualisierungen	Missing lifecycle updates	Daten werden über den Lebenszyklus nicht aktualisiert.
A4.7	Erschwerte Archivierung	Difficult archival	Die Archivierung von Daten ist erschwert.
A4.8	Langzeit-Erhaltungsrisiko	Long-term preservation risk	Risiko, dass Daten langfristig nicht erhalten bleiben.
A4.8.1	Obsolete Formate	Obsolete formats	Daten liegen in veralteten, nicht mehr lesbaren Formaten vor.
A4.8.2	Defekte Dokumentverweise	Broken document links	Verweise auf Dokumente führen ins Leere.
A4.8.3	Plattformbetreiber-Schließung	Platform-provider closure	Der Plattformbetreiber stellt den Betrieb ein.
A4.8.4	Verlust bei Datenmigration	Loss during data migration	Daten gehen bei der Migration zwischen Systemen verloren.
B	Digitale Interoperabilität & Plattformarchitektur	Digital interoperability and platform architecture	Hürden bei Datenaustausch, Systemkopplung und Architektur digitaler Plattformen.
B1	Technische Interoperabilität	Technical interoperability	Ob Softwaresysteme technisch Daten miteinander austauschen können.
B1.1	Inkompatible Softwaresysteme	Incompatible software systems	Softwaresysteme sind technisch nicht miteinander kompatibel.
B1.2	Fehlende APIs	Missing APIs	Systeme bieten keine API für den Datenaustausch.
B1.3	Proprietäre Schnittstellen	Proprietary interfaces	Schnittstellen sind proprietär und nicht offen.
B1.4	Proprietäre Dateiformate	Proprietary file formats	Daten liegen in proprietären, geschlossenen Dateiformaten vor.
B1.5	Geschlossene digitale Silos	Closed digital silos	Daten sind in geschlossenen digitalen Silos eingeschlossen.
B1.6	Begrenzter Import/Export	Limited import and export	Import und Export von Daten sind stark begrenzt.
B1.7	Instabile Systemintegrationen	Unstable system integrations	Integrationen zwischen Systemen sind instabil.
B2	Strukturelle Interoperabilität	Structural interoperability	Ob Datenstrukturen und Formate zwischen Systemen zusammenpassen.
B2.1	Inkompatible Schemata	Incompatible schemas	Das Schema der Systeme ist nicht kompatibel.
B2.2	Inkompatible Feldstrukturen	Incompatible field structures	Feldstrukturen der Systeme passen nicht zusammen.
B2.3	Inkompatible Dateiformate	Incompatible file formats	Dateiformate der Systeme sind nicht kompatibel.
B2.4	Inkonsistente Einheiten	Inconsistent units	Systeme verwenden uneinheitliche Maßeinheiten.
B2.5	Inkonsistente Property-Strukturen	Inconsistent property structures	Property-Strukturen der Systeme sind uneinheitlich.
B2.6	Inkonsistente Validierungsregeln	Inconsistent validation rules	Validierungsregeln unterscheiden sich zwischen Systemen.
B3	Semantische Interoperabilität	Semantic interoperability	Ob Systeme die Bedeutung von Daten einheitlich verstehen.
B3.1	Inkonsistente Terminologie	Inconsistent terminology	Systeme verwenden uneinheitliche Begriffe für dieselbe Sache.
B3.2	Klassifikations-Mismatch	Classification mismatch	Systeme klassifizieren dasselbe Bauteil unterschiedlich.
B3.3	Bauteilkategorie-Mismatch	Component-category mismatch	Bauteilkategorien stimmen zwischen Systemen nicht überein.
B3.4	Property-Definitions-Mismatch	Property-definition mismatch	Definitionen von Eigenschaften unterscheiden sich zwischen Systemen.
B3.5	Unterschiedliche Zustandsvokabulare	Different condition vocabularies	Systeme nutzen unterschiedliche Vokabulare für den Zustand.
B3.6	Unterschiedliche Leistungsdefinitionen	Different performance definitions	Systeme definieren Leistung unterschiedlich.
B3.7	Unterschiedliche Lebenszyklus-Status-Definitionen	Different lifecycle-status definitions	Systeme definieren den Lebenszyklus-Status unterschiedlich.
B4	Identitäts-Interoperabilität	Identity interoperability	Ob ein Bauteil systemübergreifend eindeutig identifizierbar ist.
B4.1	Fehlende persistente Identifikatoren	Missing persistent identifiers	Bauteilen fehlen dauerhafte, stabile Identifikatoren.
B4.2	Doppelte Bauteil-Identitäten	Duplicate component identities	Dasselbe Bauteil hat mehrere Identitäten.
B4.3	Identifikator-Änderungen zwischen Systemen	Identifier changes between systems	Der Identifikator ändert sich beim Wechsel zwischen Systemen.
B4.4	Gebrochene physisch-digitale Verknüpfung	Broken physical–digital link	Die Verknüpfung zwischen physischem Bauteil und Datensatz ist gebrochen.
B4.5	Unklare Identifikator-Granularität	Unclear identifier granularity	Unklar, auf welcher Ebene ein Identifikator vergeben wird.
B4.6	Fehlende Chargen-zu-Bauteil-Beziehungen	Missing batch-to-component relationships	Beziehungen zwischen Charge und Einzelbauteil fehlen.
B5	Workflow-Interoperabilität	Workflow interoperability	Ob Arbeitsschritte über Systemgrenzen hinweg verbunden sind.
B5.1	Audit von Entwurf entkoppelt	Audit disconnected from design	Bestandsaufnahme und Entwurf sind nicht verbunden.
B5.2	Entwurf von Marktplatz entkoppelt	Design disconnected from marketplace	Entwurf und Marktplatz sind nicht verbunden.
B5.3	Marktplatz von Zertifizierung entkoppelt	Marketplace disconnected from certification	Marktplatz und Zertifizierung sind nicht verbunden.
B5.4	Matching von Beschaffung entkoppelt	Matching disconnected from procurement	Matching und Beschaffung sind nicht verbunden.
B5.5	Beschaffung von Logistik entkoppelt	Procurement disconnected from logistics	Beschaffung und Logistik sind nicht verbunden.
B5.6	Einbau von Lebenszyklus-Daten entkoppelt	Installation disconnected from lifecycle records	Einbau und Lebenszyklus-Daten sind nicht verbunden.
B5.7	Wiederholte manuelle Dateneingabe	Repeated manual data entry	Daten müssen mehrfach manuell eingegeben werden.
B5.8	Informationsverlust bei Übergabe	Information loss during handover	Bei Übergaben gehen Informationen verloren.
B6	Plattform-Funktionsgrenzen	Platform functional limitations	Grenzen der Funktionen digitaler Wiederverwendungsplattformen.
B6.1	Unzureichende Inventar-Werkzeuge	Inadequate inventory tools	Werkzeuge zur Bestandserfassung sind unzureichend.
B6.2	Unzureichende Zustandsbewertungs-Werkzeuge	Inadequate condition-assessment tools	Werkzeuge zur Zustandsbewertung sind unzureichend.
B6.3	Unzureichendes technisches Matching	Inadequate technical matching	Technisches Matching der Bauteile ist unzureichend.
B6.4	Unzureichendes toleranzbasiertes Matching	Inadequate tolerance-based matching	Toleranzbasiertes Matching der Bauteile ist unzureichend.
B6.5	Unzureichende Rückgewinnungsplanung	Inadequate recovery planning	Werkzeuge zur Rückgewinnungsplanung sind unzureichend.
B6.6	Unzureichende Dokumentenprüfung	Inadequate document verification	Werkzeuge zur Dokumentenprüfung sind unzureichend.
B6.7	Unzureichendes Reservierungsmanagement	Inadequate reservation management	Das Reservierungsmanagement ist unzureichend.
B6.8	Unzureichende Logistik-Integration	Inadequate logistics integration	Die Anbindung der Logistik ist unzureichend.
B6.9	Unzureichende Lebenszyklus-Verfolgung	Inadequate lifecycle tracking	Die Verfolgung über den Lebenszyklus ist unzureichend.
B6.10	Unzureichendes Wirkungs-Reporting	Inadequate impact reporting	Das Reporting der Umweltwirkung ist unzureichend.
B7	Technologie-Nachhaltigkeit	Technology sustainability	Ob eine digitale Plattform langfristig tragfähig bleibt.
B7.1	Abhängigkeit von Pilotförderung	Dependence on pilot funding	Die Plattform hängt von befristeter Pilotförderung ab.
B7.2	Unklare Wartungs-Verantwortung	Unclear maintenance ownership	Unklar, wer die Plattform langfristig wartet.
B7.3	Instabile Plattform-Einnahmen	Unstable platform revenue	Die Einnahmen der Plattform sind instabil.
B7.4	Software-Obsoleszenz	Software obsolescence	Die eingesetzte Software veraltet.
B7.5	Sinkende Nutzerbeteiligung	Declining user participation	Die Nutzerbeteiligung nimmt ab.
B7.6	Integrations-Degradation	Integration degradation	Integrationen verschlechtern sich mit der Zeit.
B7.7	Digitaler Energieverbrauch	Digital energy consumption	Der digitale Betrieb verbraucht Energie.
B7.8	Digitalgeräte-Entsorgungswirkungen	Digital-device disposal impacts	Die Entsorgung digitaler Geräte verursacht Umweltwirkungen.
