code	name_de	name_en	definition_de
C3.5	Inkonsistente Berechtigungen über Systeme	Inconsistent permissions across systems	Berechtigungen unterscheiden sich zwischen Systemen.
C4	Datensicherheit	Data security	Schutz der Bauteildaten vor Manipulation und Verlust.
C4.1	Unautorisierte Änderung	Unauthorized modification	Daten können unautorisiert geändert werden.
C4.2	Gefälschte Bauteil-Identität	Fraudulent component identity	Bauteil-Identitäten können gefälscht werden.
C4.3	Gefälschte Zertifikate	Fraudulent certificates	Zertifikate können gefälscht werden.
C4.4	Schwache Nutzer-Authentifizierung	Weak user authentication	Die Nutzer-Authentifizierung ist zu schwach.
C4.5	Schwache API-Sicherheit	Weak API security	API-Schnittstellen sind unzureichend gesichert.
C4.6	Unzureichendes Audit-Logging	Inadequate audit logging	Zugriffe werden nicht ausreichend protokolliert.
C4.7	Unzureichende Wiederherstellung nach Datenverlust	Inadequate recovery from data loss	Wiederherstellung nach Datenverlust ist unzureichend.
C5	Vertraulichkeit & Datenschutz	Confidentiality and privacy	Schutzwürdige oder vertrauliche Daten begrenzen die Weitergabe.
C5.1	Kommerzielle Vertraulichkeit	Commercial confidentiality	Kommerzielle Vertraulichkeit begrenzt die Datenteilung.
C5.2	Schutz geistigen Eigentums	Intellectual-property restrictions	Schutz geistigen Eigentums begrenzt die Offenlegung.
C5.3	Hersteller-Geschäftsgeheimnisse	Manufacturer trade secrets	Hersteller schützen ihre Geschäftsgeheimnisse.
C5.4	Personendatenschutz-Bedenken	Personal-data concerns	Personenbezogene Daten müssen geschützt werden.
C5.5	Betriebssicherheits-Bedenken	Operational-security concerns	Betriebssicherheit begrenzt die Offenlegung von Daten.
C5.6	Eingeschränkte Zusammensetzungs-/Lieferantendaten	Restricted composition or supplier data	Zusammensetzungs- und Lieferantendaten sind eingeschränkt.
C6	Evidenz-Autorität	Evidence authority	Verlässlichkeit und Autorität der vorliegenden Nachweise.
C6.1	Selbstauskunft ohne Prüfung	Self-declared information without verification	Angaben sind selbstdeklariert und ungeprüft.
C6.2	Unklare Autorität der Prüfer	Unclear authority of assessors	Die Autorität der Prüfer ist unklar.
C6.3	Widersprüchliche Evidenzquellen	Conflicting evidence sources	Evidenzquellen widersprechen sich.
C6.4	Abgelaufene Evidenz	Expired evidence	Vorliegende Nachweise sind abgelaufen.
C6.5	Evidenz nur für vorherige Nutzung gültig	Evidence valid only for previous use	Nachweise gelten nur für die vorherige Nutzung.
C6.6	Keine Unterscheidung geschätzt/geprüft	No distinction between estimated and verified data	Geschätzte und geprüfte Daten sind nicht unterschieden.
D	Organisatorische & Kapazitätsbedingungen	Organizational and capability conditions	Übergeordnete Hürden aus Organisation, Rollen, Kompetenzen und Akzeptanz.
D1	Organisatorische Fragmentierung	Organizational fragmentation	Aufsplitterung von Akteuren und Verantwortung über den Lebenszyklus.
D1.1	Temporäre Projektteams	Temporary project teams	Projektteams bestehen nur temporär.
D1.2	Getrennte Vertragspakete	Separate contractual packages	Leistungen sind auf getrennte Vertragspakete verteilt.
D1.3	Fragmentierte Lebenszyklus-Verantwortlichkeiten	Fragmented lifecycle responsibilities	Verantwortung über den Lebenszyklus ist fragmentiert.
D1.4	Entkoppelte Lieferkettenakteure	Disconnected supply-chain actors	Lieferkettenakteure sind untereinander entkoppelt.
D1.5	Schwache Zusammenarbeit Quell-/Empfangsprojekt	Weak collaboration between source and receiving projects	Quell- und Empfangsprojekt arbeiten kaum zusammen.
D1.6	Informationsverlust bei organisatorischen Übergaben	Information loss at organizational handovers	Bei organisatorischen Übergaben gehen Informationen verloren.
D2	Prozess-Governance	Process governance	Fehlende gemeinsame Verfahren und Protokolle.
D2.1	Keine harmonisierten Audit-Verfahren	Lack of harmonized audit procedures	Es fehlen harmonisierte Audit-Verfahren.
D2.2	Keine harmonisierten Prüfverfahren	Lack of harmonized verification procedures	Es fehlen harmonisierte Prüfverfahren.
D2.3	Keine harmonisierten Aktualisierungsverfahren	Lack of harmonized update procedures	Es fehlen harmonisierte Aktualisierungsverfahren.
D2.4	Keine harmonisierten Streitbeilegungsverfahren	Lack of harmonized dispute procedures	Es fehlen harmonisierte Streitbeilegungsverfahren.
D2.5	Keine gemeinsamen Data-Governance-Protokolle	Lack of shared data-governance protocols	Es fehlen gemeinsame Data-Governance-Protokolle.
D3	Fehlende organisatorische Rollen	Missing organizational roles	Für Reuse nötige Rollen sind nicht besetzt.
D3.1	Fehlender Reuse-Koordinator	Missing reuse coordinator	Es fehlt ein Reuse-Koordinator.
D3.2	Fehlender Material-Auditor	Missing material auditor	Es fehlt ein Material-Auditor.
D3.3	Fehlender Data Steward	Missing data steward	Es fehlt ein Data Steward.
D3.4	Fehlender Bauteil-Bewerter	Missing component assessor	Es fehlt ein Bauteil-Bewerter.
D3.5	Fehlender Passport-Manager	Missing passport manager	Es fehlt ein Passport-Manager.
D3.6	Fehlender Reuse-Beschaffungsspezialist	Missing reuse procurement specialist	Es fehlt ein Reuse-Beschaffungsspezialist.
D3.7	Fehlender Rückbauplaner	Missing deconstruction planner	Es fehlt ein Rückbauplaner.
D4	Kompetenzen & Personal	Skills and workforce	Fehlende Kompetenzen und unzureichende Personalkapazität.
D4.1	Unzureichende digitale Kompetenzen	Insufficient digital skills	Digitale Kompetenzen für Reuse-Werkzeuge fehlen.
D4.1.1	BIM/openBIM-Kompetenzlücken	BIM and openBIM capability gaps	Kompetenzlücken bei BIM und openBIM.
D4.1.2	Datenbank-Kompetenzlücken	Database capability gaps	Kompetenzlücken im Umgang mit Datenbanken.
D4.1.3	API-Kompetenzlücken	API capability gaps	Kompetenzlücken bei APIs und Schnittstellen.
D4.1.4	Data-Governance-Kompetenzlücken	Data-governance capability gaps	Kompetenzlücken in der Daten-Governance.
D4.2	Unzureichende Reuse-Kompetenzen	Insufficient reuse skills	Fachliche Reuse-Kompetenzen fehlen.
D4.2.1	Materialidentifikations-Lücken	Material-identification gaps	Lücken bei der Materialidentifikation.
D4.2.2	Zustandsbewertungs-Lücken	Condition-assessment gaps	Lücken bei der Zustandsbewertung.
D4.2.3	Rückbauplanungs-Lücken	Deconstruction-planning gaps	Lücken bei der Rückbauplanung.
D4.2.4	Reuse-Beschaffungs-Lücken	Reuse-procurement gaps	Lücken bei der Reuse-Beschaffung.
D4.2.5	Regulatorisches-Wissen-Lücken	Regulatory-knowledge gaps	Lücken beim regulatorischen Wissen.
D4.3	Unzureichende Personalkapazität	Insufficient workforce capacity	Zu wenig qualifiziertes Personal verfügbar.
D4.3.1	Zu wenige qualifizierte Auditoren	Too few qualified auditors	Es gibt zu wenige qualifizierte Auditoren.
D4.3.2	Zu wenige Rückbauspezialisten	Too few deconstruction specialists	Es gibt zu wenige Rückbauspezialisten.
D4.3.3	Zu wenige technische Bewerter	Too few technical assessors	Es gibt zu wenige technische Bewerter.
D4.3.4	Zu wenig Datenmanagement-Personal	Too few data-management personnel	Es gibt zu wenig Datenmanagement-Personal.
D5	Bewusstsein & Commitment	Awareness and commitment	Geringes Bewusstsein und schwaches Engagement für Reuse.
D5.1	Begrenztes Bewusstsein für Reuse-Chancen	Limited awareness of reuse opportunities	Geringes Bewusstsein für Reuse-Chancen.
D5.2	Begrenztes Bewusstsein für digitale Systeme	Limited awareness of digital systems	Geringes Bewusstsein für digitale Systeme.
D5.3	Begrenztes Bewusstsein für verfügbare Inventare	Limited awareness of available inventories	Geringes Bewusstsein für verfügbare Inventare.
D5.4	Begrenztes Bewusstsein für rechtliche Anforderungen	Limited awareness of legal requirements	Geringes Bewusstsein für rechtliche Anforderungen.
D5.5	Schwaches Stakeholder-Commitment	Weak stakeholder commitment	Das Commitment der Akteure ist schwach.
D5.6	Schwache Langzeit-Beteiligung	Weak long-term participation	Die langfristige Beteiligung ist schwach.
D5.7	Geringe Bereitschaft zur Datenteilung	Low willingness to share data	Geringe Bereitschaft, Daten zu teilen.
D6	Adoptionswiderstand	Adoption resistance	Widerstand gegen die Einführung digitaler Reuse-Prozesse.
D6.1	Widerstand gegen Prozessänderung	Resistance to process change	Widerstand gegen Änderungen an Prozessen.
D6.2	Zurückhaltung bei digitaler Technologie	Reluctance to adopt digital technology	Zurückhaltung bei der Nutzung digitaler Technik.
D6.3	Präferenz für etablierte Beschaffung	Preference for established procurement	Präferenz für etablierte Beschaffungswege.
D6.4	Kulturelle Präferenz für Neuprodukte	Cultural preference for new products	Kulturelle Präferenz für Neuprodukte.
D6.5	Geringer wahrgenommener digitaler Wert	Low perceived digital value	Der digitale Nutzen wird als gering wahrgenommen.
D6.6	Ungleiche Verteilung digitaler Vorteile	Unequal distribution of digital benefits	Digitale Vorteile sind ungleich verteilt.
D6.7	Wahrgenommene Last ohne direkten Ertrag	Perceived burden without direct return	Aufwand wird ohne direkten Ertrag wahrgenommen.
