code	name_de	name_en	definition_de
F3.1	Unklare Zertifikatsgültigkeit nach Ausbau	Unclear certificate validity after removal	Unklar, ob Zertifikate nach dem Ausbau gültig bleiben.
F3.2	Unklare Nachprüfungspflicht	Unclear retesting requirement	Unklar, ob eine erneute Prüfung nötig ist.
F3.3	Unklarer Konformitätsbewertungs-Weg	Unclear conformity-assessment route	Unklarer Weg der Konformitätsbewertung.
F3.4	Unklare zuständige Bewertungsstelle	Unclear competent assessment body	Unklar, welche Stelle für die Bewertung zuständig ist.
F3.5	Unklare Anerkennung historischer Prüfergebnisse	Unclear acceptance of historical test results	Unklare Anerkennung früherer Prüfergebnisse.
F3.6	Andere Anforderungen bei geänderter Nutzung	Different requirements for changed intended use	Andere Anforderungen bei geändertem Verwendungszweck.
F4	Haftungs-Unsicherheit	Liability uncertainty	Unklare Haftungsverteilung bei wiederverwendeten Produkten.
F4.1	Unklare Vorbesitzer-Haftung	Unclear prior-owner liability	Unklare Haftung des früheren Eigentümers.
F4.2	Unklare Hersteller-Haftung	Unclear manufacturer liability	Unklare Haftung des Herstellers.
F4.3	Unklare Plattform-Haftung	Unclear platform liability	Unklare Haftung der Plattform.
F4.4	Unklare Auditor-Haftung	Unclear auditor liability	Unklare Haftung des Auditors.
F4.5	Unklare Labor-Haftung	Unclear laboratory liability	Unklare Haftung des Prüflabors.
F4.6	Unklare Planer-/Ingenieur-Haftung	Unclear designer or engineer liability	Unklare Haftung von Planern oder Ingenieuren.
F4.7	Unklare Auftragnehmer-/Einbau-Haftung	Unclear contractor or installer liability	Unklare Haftung von Auftragnehmern oder Einbaubetrieben.
F5	Gewährleistungs-Unsicherheit	Warranty uncertainty	Unsicherheit über Gewährleistung für Reuse-Produkte.
F5.1	Keine Standard-Reuse-Produktgewährleistung	No standard reused-product warranty	Keine übliche Gewährleistung für wiederverwendete Produkte.
F5.2	Unklarer Gewährleistungsgeber	Unclear warranty provider	Unklar, wer die Gewährleistung übernimmt.
F5.3	Unklare Gewährleistungsdauer	Unclear warranty period	Unklare Dauer der Gewährleistung.
F5.4	Unklare Gewährleistungsausschlüsse	Unclear warranty exclusions	Unklare Ausschlüsse der Gewährleistung.
F5.5	Produktspezifische Gewährleistungsunterschiede	Product-specific warranty differences	Produktabhängige Unterschiede der Gewährleistung.
F6	Technisches Risiko	Technical risk uncertainty	Unsicheres technisches Verhalten wiederverwendeter Bauteile.
F6.1	Unsichere Leistung	Uncertain performance	Unsichere Leistungsfähigkeit des Bauteils.
F6.2	Unsicherer Zustand	Uncertain condition	Unsicherer technischer Zustand des Bauteils.
F6.3	Unsichere Restnutzungsdauer	Uncertain remaining service life	Unsichere verbleibende Nutzungsdauer.
F6.4	Unsichere Sicherheit	Uncertain safety	Unsichere Sicherheit des Bauteils.
F6.5	Unsichere Kompatibilität mit neuer Nutzung	Uncertain compatibility with new use	Unsichere Eignung für die neue Nutzung.
F6.6	Unsichere künftige Wartungsanforderungen	Uncertain future maintenance requirements	Unsicherer künftiger Wartungsbedarf.
