review_id,origin,expansion_state,country,relationship_kind,source,target,relationship_type,description_for_display_only,profile_proposal,profile_reason_code,profile_review_status,evidence_quote,evidence_url,evidence_flags
AT:K014,baseline_264,retained,AT,AKTEUR-AKTEUR,BauKarussell,pulswerk GmbH,Konsortialpartner,Mitgliedschaft in der Genossenschaft.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet",https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K021,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,Re-Use Austria,Ferry-Dusika-Stadion Rückbau,Rückbau,Rückbau.,Einzelfall / Vorhaben,actor_project_edge,ready,"Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet",https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K023,baseline_264,proposed_removed,AT,AKTEUR-BAUVORHABEN,Ferry-Dusika-Stadion Rückbau,Job-TransFair gemeinnützige GmbH,"Projektbeteiligung, Aufgabe unklar",Beteiligung; genaue Rolle noch offen.,Einzelfall / Vorhaben,actor_project_edge,ready,Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair),https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K024,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,Ferry-Dusika-Stadion Rückbau,pulswerk GmbH,Rückbau,Rückbau.,Einzelfall / Vorhaben,actor_project_edge,ready,"Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet",https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K029,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,Ferry-Dusika-Stadion Rückbau,WSE Wiener Standortentwicklung GmbH,Betrieb,Projektsteuerung.,Einzelfall / Vorhaben,actor_project_edge,ready,Umgesetzt wird das Projekt vom Bauprojektmanagement-Team der WSE.,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
BE:K003,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Chiro d’Itterbeek,Franck,Bauteillieferung,Lieferte Reuse-Ziegel.,Einzelfall / Vorhaben,actor_project_edge,ready,"The facade, for example, is entirely made of reusable bricks provided by Jan Franck.",https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro,
BE:K005,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Chiro d’Itterbeek,RotorDC,Bauteillieferung,Lieferte Reuse-Bauteile.,Einzelfall / Vorhaben,actor_project_edge,ready,The interior of the sanitary block is mainly made of reuse materials sold by RotorDC.,https://rotordb.org/en/projects/sanitary-block-itterbeek-chiro,
BE:K006,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,BLAF Architecten,Maison DnA,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,dnA House / BLAF Architecten (Architekt: BLAF Architecten),https://www.archdaily.com/423660/dna-house-blaf-architecten,
BE:K012,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Maison Vignette,Franck Bricks,Bauteillieferung,Lieferte Reuse-Ziegel.,Einzelfall / Vorhaben,actor_project_edge,ready,"Brique: Grote Boomse Steen, provenant de chez Franck",https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme,
BE:K023,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Musée de Folklore de Mouscron,Bureau Bouwtechniek,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"L'équipe formée par V+ (architecture), Projectiles (architecture, muséographie), Taktyk (paysage), Greisch, Daidalos Peutz et Bureau Bouwtechniek (bureaux d'études)",https://www.architectura.be/fr/actualite/un-nouvel-ecrin-pour-le-musee-de-folklore-de-mouscron,
BE:K027,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Recypark Demets,51N4E,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,"51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure",https://rotordb.org/en/projects/recypark-anderlecht,
BE:K028,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Recypark Demets,Rotor,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,"51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure",https://rotordb.org/en/projects/recypark-anderlecht,
BE:K037,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Zinneke,Zinneke asbl,Bauherrschaft,Bauherrschaft.,Einzelfall / Vorhaben,actor_project_edge,ready,"In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.",https://rotordb.org/en/projects/zinneke-feder-masui4ever,
BE:K041,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Zinneke,ERDF / FEDER Brüssel-Hauptstadt,Förderung,Förderung.,Einzelfall / Vorhaben,actor_project_edge,ready,This project was made possible thanks to an ERDF subvention from the Brussels-Capital Region.,https://rotordb.org/en/projects/zinneke-feder-masui4ever,
BE:K042,baseline_264,retained,BE,AKTEUR-BAUVORHABEN,Zinneke,Rotor,Fachplanung,Fachplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"In 2015, Zinneke invited Rotor to join the long-term project for the renovation of their 4.000 m² new facilities at Place Masui.",https://rotordb.org/en/projects/zinneke-feder-masui4ever,
BE:K043,baseline_264,retained,BE,AKTEUR-AKTEUR,Rotor,RotorDC,Gründung,Gründung als Spin-off.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Please check our spin-off RotorDC's website.,https://rotordb.org/en/projects/oxy-centre-monnaie,
BE:K046,baseline_264,retained,BE,AKTEUR-AKTEUR,Opalis,Brussels Environment,Trägerschaft,Unterstützte die Entwicklung.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Opalis was developed with the support of Brussels Environment.,https://opalis.eu/en/about,
BE:K072,baseline_264,retained,BE,AKTEUR-AKTEUR,Embuild,Buildwise,"Zusammenarbeit, Art unklar",Entwickelten das Tool Circulair Gebouwd gemeinsam.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Embuild Vlaanderen en Buildwise hebben op 6 december ... de nieuwe tool 'Circulair Gebouwd' voorgesteld.,https://www.embuildvlaanderen.be/press-room/circulair-gebouwd/,
BE:K073,baseline_264,retained,BE,AKTEUR-AKTEUR,Buildwise,Vrije Universiteit Brussel (VUB) – Architectural Engineering,Konsortialpartner,Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"The work was performed by VITO, Buildwise, UHasselt and VUB.",https://researchportal.vub.be/en/publications/aanbevelingen-veranderingsgericht-verbouwen-eindrapportage-deelop,
BE:K075,baseline_264,retained,BE,AKTEUR-AKTEUR,BauMaB Kassel / Bauteilbörse Kassel,Stadt Kassel,Trägerschaft,Initiierte in Klimastrategie.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Das Projekt wurde im Rahmen der Klimaschutzstrategie der Stadt Kassel initiiert.,https://baumab-kassel.de/konzept/,
BE:K086,baseline_264,retained,BE,AKTEUR-AKTEUR,OVAM (Openbare Vlaamse Afvalstoffenmaatschappij),Tracimat vzw,Regulatorische Anerkennung,Erkannte Tracimat als Sloopbeheerorganisation an.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Voor de sloopopvolging worden de standaarddocumenten van Tracimat gebruikt.,https://ovam.vlaanderen.be/bouw-sloopopvolging,
CH:K001,baseline_264,retained,CH,AKTEUR-AKTEUR,Ressourcerie Lausanne / Matériuum / R-UUL,Matériuum,Konzernbindung,Führung als Zweigbetrieb.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,la Ressourcerie Matériuum Lausanne (RUUL) permet de stocker et de prolonger la durée de vie d'une grande quantité de matières,https://materiuum.ch/ressourcerie-lausanne-magasin-shop/,
CH:K002,baseline_264,retained,CH,AKTEUR-AKTEUR,Bauteilbörse Basel,Gruner ReUse,Gemeinsames Bauvorhaben,Inventarisierung und Vermarktung.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,
CH:K003,baseline_264,retained,CH,AKTEUR-AKTEUR,Bauteilbörse Basel,useagain / Bauteilclick,Dienstleistungsbeziehung,Stellt Marktplatz für ihren Bauteilverkauf.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,
CH:K004,baseline_264,retained,CH,AKTEUR-AKTEUR,Bauteilvermittlung Zürichsee-Oberland,Stiftung Chance BauTeile Zürich / Glattbrugg,Dienstleistungsbeziehung,"Prüft, demontiert und transportiert.",needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"Fachleute der Stiftung Chance prüfen die Bauteile, demontieren sie und übernehmen den Transport.",https://www.btvz.ch/portraet/,
CH:K006,baseline_264,retained,CH,AKTEUR-AKTEUR,useagain / Bauteilclick,Bauteilladen Winterthur,Dienstleistungsbeziehung,Bauteilvermittlung.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"promotes direct exchange between various organisations, such as Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur",https://library-of-reuse.ch/pioneers/useagain,
CH:K007,baseline_264,proposed_removed,CH,AKTEUR-BAUVORHABEN,ELYS Kultur- und Gewerbezentrum Basel,Zirkular,"Projektbeteiligung, Aufgabe unklar",Beteiligung; genaue Rolle noch offen.,Einzelfall / Vorhaben,actor_project_edge,ready,They received a lot of attention and were the trigger for the foundation of Zirkular by the involved planners.,https://zirkular.net/en/project/culture-commercial-center-elys,
CH:K008,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,baubüro in situ,Grubenstrasse 29,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,Architekten: baubüro in situ ag,https://www.bauwelt.de/rubriken/bauten/Werkhof-29-Zuerich-baubuero-in-situ-ag-4385137.html,
CH:K009,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,baubüro in situ,K.118 Winterthur,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,Architektur: Baubüro in situ,https://circularmaterialsystems.com/de/case/06_k-118/,
CH:K011,baseline_264,retained,CH,AKTEUR-AKTEUR,baubüro in situ,RE-WIN,"Zusammenarbeit, Art unklar",Unterstützten gemeinsam das Netzwerk.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Zusammenarbeit mit Baubüro in situ,https://re-win.ch/verein/ueber/,
CH:K012,baseline_264,retained,CH,AKTEUR-AKTEUR,baubüro in situ,Pascal Flammer Architekten,Gemeinsames Bauvorhaben,Wählten Reuse-Bauteile für Hobelwerk Haus D aus.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"untersuchten in situ und PFA 60 Elemente, aus denen schlussendlich 21 für Erwerb und Einbau ausgewählt wurden",https://www.espazium.ch/de/aktuelles/winterthur-hobelwerk-architektur-reuse-flammerarchitkten-nettonull,
CH:K013,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Grubenstrasse 29,Modissa Immobilien AG,Bauherrschaft,Bauherrschaft.,Einzelfall / Vorhaben,actor_project_edge,ready,Auftraggeber (Client): Modissa Immobilien AG,https://zirkular.net/de/projekt/grubenstrasse-29/,
CH:K015,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Grubenstrasse 29,Tschudin Rückbau und Demontagen GmbH,Rückbau,Rückbau.,Einzelfall / Vorhaben,actor_project_edge,ready,Material Suppliers (Wiederverwendete Bauteile): Tschudin Rückbau und Demontagen GmbH,https://zirkular.net/de/projekt/grubenstrasse-29/,
CH:K016,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Grubenstrasse 29,Zirkular,Bauteilinventarisierung,Bauteilinventarisierung.,Einzelfall / Vorhaben,actor_project_edge,ready,"Zirkular Projektteam: Marc Angst, Leonard Schönfelder",https://zirkular.net/de/projekt/grubenstrasse-29/,
CH:K017,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Recyclingzentrum Juch-Areal,Entsorgung + Recycling Zürich (ERZ),Betrieb,Betrieb.,Einzelfall / Vorhaben,actor_project_edge,ready,Eigentümervertretung Entsorgung + Recycling Zürich (ERZ),https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,
CH:K018,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Recyclingzentrum Juch-Areal,Weber + Brönnimann AG,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"Bauingenieurwesen Weber + Brönnimann AG, Bern",https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,
CH:K019,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Recyclingzentrum Juch-Areal,manoa Landschaftsarchitekten,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,"Landschaftsarchitektur manoa Landschaftsarchitekten GmbH, Meilen",https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,
CH:K020,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Recyclingzentrum Juch-Areal,Graber Pulver,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,"Generalplanung und Architektur Graber Pulver Architekt:innen AG, Zürich",https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html,
CH:K021,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Stiftung Abendrot / Vorsorgestiftung Abendrot,Bauherrschaft,Bauherrschaft.,Einzelfall / Vorhaben,actor_project_edge,ready,Client: Stiftung Abendrot,https://zirkular.net/en/project/building-k-118/,
CH:K022,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Institut Konstruktives Entwerfen (IKE) / ZHAW,Forschungsbegleitung,Forschungsbegleitung.,Einzelfall / Vorhaben,actor_project_edge,ready,"mit dem Projekt K.118 den derzeit grössten Neubau der Schweiz, der zu grossen Teilen aus wiederverwendeten Bauteilen konzipiert ist",https://www.zhaw.ch/de/forschung/projekt/71771,
CH:K023,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Oberli Ingenieurbau AG,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,Civil engineer: Oberli Ingenieurbau AG,https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ,
CH:K024,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Josef Kolb AG,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,Timber Engineering: Josef Kolb AG,https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ,
CH:K025,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Wetter AG,Bauausführung,Bauausführung.,Einzelfall / Vorhaben,actor_project_edge,ready,Steel Construction: Wetter AG,https://www.archdaily.com/968958/k118-kopfbau-halle-118-hauburo-in-situ,
CH:K026,baseline_264,proposed_removed,CH,AKTEUR-BAUVORHABEN,K.118 Winterthur,Zirkular,"Projektbeteiligung, Aufgabe unklar",Beteiligung; genaue Rolle noch offen.,Einzelfall / Vorhaben,actor_project_edge,ready,Sie erhielten viel Aufmerksamkeit und waren Auslöser der Gründung von Zirkular durch die involvierten Planenden.,https://zirkular.net/de/projekt/k-118-kopfbau-halle-118/,
CH:K027,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Kindergarten Mööslistrasse,Amt für Hochbauten und Immobilien Stadt Zürich,Bauherrschaft,Bauherrschaft.,Einzelfall / Vorhaben,actor_project_edge,ready,"Bauherrschaft: Stadt Zürich, Eigentümervertretung: Immobilien Stadt Zürich, Bauherrenvertretung: Amt für Hochbauten",https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,
CH:K029,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Kindergarten Mööslistrasse,Ingenieurbureau Heierli AG,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"Bauingenieurwesen (Structural Engineering): Ingenieurbureau Heierli AG, Zürich",https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,
CH:K031,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Kindergarten Mööslistrasse,Schmidiger + Rosasco AG,Fachplanung,Fachplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"Elektroplanung (Electrical Planning): Schmidiger + Rosasco AG, Zürich",https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,
CH:K032,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Kindergarten Mööslistrasse,aik Architektur + Ingenieur Kollektiv,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,"Bauphysik (Building Physics): aik, Architektur + Ingenieur Kollektiv, Zürich",https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,
CH:K033,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Kindergarten Mööslistrasse,Zirkular,Entwurf,Entwurf.,Einzelfall / Vorhaben,actor_project_edge,ready,"landscape architecture planning for the re-use concept was handled by Zirkular GmbH, Zürich",https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,
CH:K035,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Re:Crete footbridge,Structural Xploration Lab (SXL) / EPFL,Bauausführung,Bauausführung.,Einzelfall / Vorhaben,actor_project_edge,ready,"the Sructural Xploration Lab (SXL) has built the RE:CRETE prototype, a footbridge built from 25 reused concrete blocks",https://www.epfl.ch/schools/enac/recrete/,
CH:K036,baseline_264,proposed_removed,CH,AKTEUR-BAUVORHABEN,NEST Research and Innovation Platform / Empa–Eawag,UMAR Unit,Forschungsbegleitung,Forschungsbegleitung.,Einzelfall / Vorhaben,actor_project_edge,ready,"In der NEST-Unit »UMAR« (Urban Mining & Recycling) wohnen und arbeiten seit Mai zwei Studenten, um sich regelmäßig mit den Wissenschaftlern der Empa",https://www.db-bauzeitung.de/db/heizung-klima-lueftung/forschungsmodul/,
CH:K038,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,Stiftung Habitat,LYSP8 Basel,Betrieb,Betrieb.,Einzelfall / Vorhaben,actor_project_edge,ready,Entstanden ist hier ein weiteres Wohnhaus der Stiftung Habitat.,https://www.stiftung-habitat.ch/sh/liegenschaften/haeuser-und-projekte/wohnhaus-weinlagerstrasse-33.html,
CH:K039,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,LYSP8 Basel,PIRMIN JUNG Schweiz AG,Fachplanung,Fachplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,Pirmin Jung (Fachplanung Holzbau),https://zirkular.net/en/project/lysp8/,
CH:K040,baseline_264,retained,CH,AKTEUR-AKTEUR,Zirkular,Studio Trachsler Hoffmann,Gemeinsames Bauvorhaben,Arbeiteten an Schärenmoosstrasse zusammen.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Nach dem Wettbewerbsgewinn wurde Zirkular mit in das Projektteam geholt.,https://zirkular.net/de/projekt/schaerenmoosstrasse/,
CH:K041,baseline_264,retained,CH,AKTEUR-AKTEUR,Zirkular,RE-WIN,Gründung,Initiierten die erste Fenstersammlung.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Das Baubüro in situ hat zusammen mit der Zirkular GmbH die erste Fenster-Sammelaktion gestartet und den ersten LKW Transport in die Ukraine bezahlt.,https://re-win.ch/supporters/baubuero-in-situ-ag-und-zirkular-gmbh/,
CH:K042,baseline_264,retained,CH,AKTEUR-AKTEUR,Zirkular,Bauteilkatalog Immobilien Basel-Stadt,Dienstleistungsbeziehung,Katalogisierte Bauteile für Basler Wettbewerbe.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Im Rahmen der Projektwettbewerbe «Walkeweg» und «Schliengerweg» katalogisierte Zirkular die Re-Use-Bauteile,https://zirkular.net/de/projekt/bauteilkatalog-immobilien-basel-stadt/,
CH:K043,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,UMAR Unit,Lindner SE,Bauteillieferung,Lieferte Reuse-Bauteile.,Einzelfall / Vorhaben,actor_project_edge,ready,Lindner realisierte dort speziell entwickelte Plafotherm® Heiz-/Kühldecken.,https://www.lindner-group.com/de/referenzen/nest-unit-umar,
CH:K044,baseline_264,retained,CH,AKTEUR-AKTEUR,ZHAW,INEB – FHNW (Leitfaden Reuse Stahl/Stahlbeton),Konsortialpartner,Verbundpartnerschaft.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Zwei Institute - INEB der FHNW und IKE der ZHAW - untersuchen im Rahmen eines Projekts die Wiederverwendung.,https://www.fhnw.ch/de/die-fhnw/hochschulen/architektur-bau-geomatik/institute/ineb/ineb-forschung/ressourceneffizientes-und-zirkulaeres-bauen/leitfaden-reuse-stahl-und-stahlbetonbauteilen,
CH:K045,baseline_264,retained,CH,AKTEUR-BAUVORHABEN,ELEMENTA Walkeweg,Monotti Ingegneri,Fachplanung,Tragwerksplanung.,Einzelfall / Vorhaben,actor_project_edge,ready,Bauingenieurwesen: Monotti Ingegneri Consulenti SA,https://media.bs.ch/original_file/8e80b99a92a09ee372ff54721421eb6497819e1f/bvd-jurybericht-walkeweg-komprimiert-1.pdf,
CH:K046,baseline_264,retained,CH,AKTEUR-AKTEUR,Digvis GmbH,Bauteilkatalog Immobilien Basel-Stadt,Dienstleistungsbeziehung,Programmierte Basler.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Programmierung: digvis GmbH Industriestrasse 59 8152 Glattbrugg,https://bauteile-ibs.ch/contact,
