order,project_id,project_name,folder
39,p_haus_hos_mehrfamilienhaus_muehlhausen,Haus HOS / Mehrfamilienhaus Mühlhausen,039_p_haus_hos_mehrfamilienhaus_muehlhausen
40,p_holbein_gardens_london,"Holbein Gardens, London",040_p_holbein_gardens_london
41,p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,House of Fraser / 318 Oxford Street → TBC.London steel reuse chain,041_p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain
42,p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta / A-Kruunu ReCreate mini-pilot Tampere,042_p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere
43,p_impact_hub_berlin_crclr_fitout,Impact Hub Berlin / CRCLR Fit-out,043_p_impact_hub_berlin_crclr_fitout
44,p_institut_de_botanique_ulg_liege,"Institut de Botanique de l’ULg, Liège",044_p_institut_de_botanique_ulg_liege
45,p_interreg_nwe_fcrbe,Interreg NWE FCRBE,045_p_interreg_nwe_fcrbe
46,p_jeugdkliniek_ithaka_emergis_kloetinge,Jeugdkliniek Ithaka / Emergis Kloetinge,046_p_jeugdkliniek_ithaka_emergis_kloetinge
47,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzentrum Zürich,047_p_juch_areal_recyclingzentrum_zuerich
48,p_jugendtreff_ingersheim,"Jugendtreff Ingersheim — CLT-Reuse Pilot (Stuttgart 210 first reallab, 2024)",048_p_jugendtreff_ingersheim
49,p_k118_kopfbau_halle_118_winterthur,K118 Kopfbau Halle 118 Winterthur,049_p_k118_kopfbau_halle_118_winterthur
50,p_ka13_kristian_augusts_gate_13_oslo,"KA13 / Kristian Augusts gate 13, Oslo",050_p_ka13_kristian_augusts_gate_13_oslo
51,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste Center / Hotel WHY,051_p_kamikatsu_zero_waste_center_hotel_why
52,p_kindergarten_moeoeslistrasse_manegg_zuerich,Kindergarten Mööslistrasse / Manegg Zürich,052_p_kindergarten_moeoeslistrasse_manegg_zuerich
53,p_liander_alliander_hq_duiven,"Liander / Alliander HQ, Duiven",053_p_liander_alliander_hq_duiven
54,p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall façade / Stadhuis Lo,054_p_lo_reninge_town_hall_facade
55,p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology Centre mini-pilot Tampere,055_p_lokomotion_technology_centre_mini_pilot_tampere
56,p_lycee_michel_lucius_conversion_luxembourg,"Lycée Michel Lucius Conversion, Luxembourg",056_p_lycee_michel_lucius_conversion_luxembourg
57,p_lysp8,LYSP8,057_p_lysp8
58,p_lysp8_basel,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel (Loeliger Strub / Zirkular / Stiftung Habitat),058_p_lysp8_basel
59,p_maison_des_canaux_paris,"Maison des Canaux, Paris",059_p_maison_des_canaux_paris
60,p_maison_dna_asse,"Maison DnA / dnA House, Asse",060_p_maison_dna_asse
61,p_maison_vignette_auderghem,"Maison Vignette, Auderghem",061_p_maison_vignette_auderghem
62,p_meduni_campus_mariannengasse,MedUni Campus Mariannengasse Wien — BauKarussell pre-demolition reuse,062_p_meduni_campus_mariannengasse
63,p_mehrow_pilot_house,Mehrow Pilot House,063_p_mehrow_pilot_house
64,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary School and Day-care Centre Helsinki,064_p_melkinlaituri_primary_school_daycare_centre_helsinki
65,p_montessori_maassluis,Montessori Maassluis,065_p_montessori_maassluis
66,p_multi_brussels_reuse_in_multi,Multi Brussels / Reuse in MULTI,066_p_multi_brussels_reuse_in_multi
67,p_musee_de_folklore_mouscron,Musée de Folklore Vie Frontalière / MUSEF Mouscron,067_p_musee_de_folklore_mouscron
68,p_obk_27,OBK 27,068_p_obk_27
69,p_pavilion_circl_amsterdam,Pavilion Circl Amsterdam,069_p_pavilion_circl_amsterdam
70,p_peoples_pavilion_eindhoven,People’s Pavilion Eindhoven,070_p_peoples_pavilion_eindhoven
71,p_plattenpalast_berlin,Plattenpalast Berlin,071_p_plattenpalast_berlin
72,p_plattenvereinigung_berlin,Plattenvereinigung Berlin,072_p_plattenvereinigung_berlin
73,p_plp_london_hq_circular_studio_fitout,PLP London HQ circular studio fit-out,073_p_plp_london_hq_circular_studio_fitout
74,p_rcmi_concular,RCMI / Concular blueprint project,074_p_rcmi_concular
75,p_re_use_hoefe,RE-USE Höfe,075_p_re_use_hoefe
76,p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge — reused concrete blocks,076_p_recrete_footbridge_reused_concrete_blocks
77,p_reallabor_b_e_ware,Reallabor B(e) Ware,077_p_reallabor_b_e_ware
78,p_reallabor_be_ware,Reallabor B(e) Ware,078_p_reallabor_be_ware
79,p_rebridge_structural_reuse_project,REBRIDGE structural reuse project,079_p_rebridge_structural_reuse_project
80,p_recyclinghaus_hannover,Recyclinghaus Hannover,080_p_recyclinghaus_hannover
81,p_recypark_demets_anderlecht,Recypark Demets / Recypark Anderlecht,081_p_recypark_demets_anderlecht
82,p_refair_bordeaux_reemploi_platform,REFAIR Bordeaux reuse platform,082_p_refair_bordeaux_reemploi_platform
83,p_resource_rows_copenhagen,Resource Rows Copenhagen,083_p_resource_rows_copenhagen
84,p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky / Blackfriars Crown Court,084_p_roots_in_the_sky_blackfriars_crown_court
85,p_resilience_la_ferme_des_possibles_stains,Résilience / La Ferme des Possibles Stains,085_p_resilience_la_ferme_des_possibles_stains
86,p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment Barn,086_p_saxum_vineyard_equipment_barn_paso_robles
87,p_schaerenmoosstrasse_zuerich,Schärenmoosstrasse 115/117 Zürich — ménage à trois (Stiftung PWG Wettbewerb 2022),087_p_schaerenmoosstrasse_zuerich
88,p_stuttgart_210,Stuttgart 210,088_p_stuttgart_210
89,p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw / Superlocal Pavilion,089_p_superlocal_expogebouw_bleijerheide
90,p_svanen_kindergarten_gladsaxe,Svanen / The Swan Kindergarten Gladsaxe,090_p_svanen_kindergarten_gladsaxe
91,p_the_green_house_utrecht,The Green House Utrecht,091_p_the_green_house_utrecht
92,p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,092_p_thoravej_29_copenhagen
93,p_timber_square_london,Timber Square London,093_p_timber_square_london
94,p_trae_high_rise_aarhus,TRÆ High-Rise,094_p_trae_high_rise_aarhus
95,p_umar_unit,"UMAR Unit — Urban Mining and Recycling, NEST Empa Dübendorf",095_p_umar_unit
96,p_up_sticks_dundee,Up Sticks Dundee ETH MAS DFAB 2019 (Gramazio Kohler Research; V&A Dundee commission),096_p_up_sticks_dundee
97,p_upcycle_studios_copenhagen,Upcycle Studios Copenhagen,097_p_upcycle_studios_copenhagen
98,p_verbiest_karreveld_brussels,Verbiest + Karreveld,098_p_verbiest_karreveld_brussels
99,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,099_p_villa_welpeloo_enschede
100,p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard Den Bosch,100_p_woongroep_boschgaard_den_bosch
101,p_zinneke_feder_masui4ever_brussels,Zinneke / FEDER Masui4ever Brussels,101_p_zinneke_feder_masui4ever_brussels
