claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
A12-rel-agg-0011,rel,agg:HAT_VERBINDUNGSTECHNIK,,Verbindungstechnik,HAT_VERBINDUNGSTECHNIK,"All HAT_VERBINDUNGSTECHNIK edges point to a valid Verbindungstechnik vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"110 edges: range 100% ->Verbindungstechnik; domains Bauteilgruppe 109 / Projekt 1 valid",KEEP,12,
A12-rel-agg-0012,rel,agg:HAT_GESCHAEFTSMODELL,,Geschaeftsmodell,HAT_GESCHAEFTSMODELL,"All HAT_GESCHAEFTSMODELL edges point to a valid Geschaeftsmodell vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"98 edges: range 100% ->Geschaeftsmodell; domains Akteur 90 / Software 8 valid",KEEP,12,
A12-rel-agg-0013,rel,agg:HAT_ENTWURFSMETHODIK,,Entwurfsmethodik,HAT_ENTWURFSMETHODIK,"All HAT_ENTWURFSMETHODIK edges point to an ACTIVE (non-deprecated) Entwurfsmethodik vocab node",contract,get-schema,false,,PROVEN,hoch,"79 edges: range 100% ->Entwurfsmethodik; domain Projekt 79; 0 edges to DEPRECATED nodes",KEEP,12,"9 German Entwurfsmethodik nodes are DEPRECATED & correctly isolated (0 in-scope edges)"
A12-rel-agg-0014,rel,agg:HAT_ARCHITEKTURERGEBNIS,,Architekturergebnis,HAT_ARCHITEKTURERGEBNIS,"All HAT_ARCHITEKTURERGEBNIS edges point to an ACTIVE (non-deprecated) Architekturergebnis vocab node",contract,get-schema,false,,PROVEN,hoch,"79 edges: range 100% ->Architekturergebnis; domain Projekt 79; 0 edges to DEPRECATED nodes",KEEP,12,"8 German Architekturergebnis nodes are DEPRECATED & correctly isolated (0 in-scope edges)"
A12-rel-agg-0015,rel,agg:HAT_BAUSYSTEM,,Bausystem,HAT_BAUSYSTEM,"All HAT_BAUSYSTEM edges point to a valid Bausystem vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"61 edges: range 100% ->Bausystem; domains Bauteilgruppe 37 / Bauwerk 17 / Materialdepot 4 / Projekt 3 valid",KEEP,12,
A12-rel-agg-0016,rel,agg:HAT_DEFEKT,,Defekt,HAT_DEFEKT,"All HAT_DEFEKT edges point to a valid Defekt vocab node",contract,get-schema,false,,PROVEN,hoch,"57 edges: range 100% ->Defekt; domains Bauteilgruppe 32 / Projekt 25 valid",KEEP,12,
A12-rel-agg-0017,rel,agg:HAT_ZUSTANDSKLASSE,,ZustandsKlasse,HAT_ZUSTANDSKLASSE,"All HAT_ZUSTANDSKLASSE edges point to a valid ZustandsKlasse vocab node",contract,get-schema,false,,PROVEN,hoch,"18 edges: range 100% ->ZustandsKlasse; domain Bauteilgruppe 18 valid",KEEP,12,
A12-rel-agg-0018,rel,agg:TYPISCH_BEI_MATERIAL,,Material,TYPISCH_BEI_MATERIAL,"All TYPISCH_BEI_MATERIAL edges point to a valid Material vocab node from valid domains",contract,get-schema,false,,PROVEN,hoch,"74 edges: range 100% ->Material; domains Schadstoff 18 / Aufbereitungsverfahren 18 / Defekt 14 / PruefungNachweis 12 / ZustandsKlasse 12 valid",KEEP,12,
A12-rel-agg-0019,rel,agg:TYPISCH_BEI_ERA,,BauwerkEra,TYPISCH_BEI_ERA,"All TYPISCH_BEI_ERA edges point to a valid BauwerkEra vocab node",contract,get-schema,false,,PROVEN,hoch,"15 edges: range 100% ->BauwerkEra; domain Schadstoff 15 valid",KEEP,12,
A12-rel-agg-0020,rel,agg:TYPISCH_BEI_BAUTEILTYP,,Bauteiltyp,TYPISCH_BEI_BAUTEILTYP,"All TYPISCH_BEI_BAUTEILTYP edges point to a valid Bauteiltyp vocab node",contract,get-schema,false,,PROVEN,hoch,"10 edges: range 100% ->Bauteiltyp; domain Schadstoff 10 valid",KEEP,12,
A12-rel-agg-0021,rel,agg:GEBAUT_IN_ERA,,BauwerkEra,GEBAUT_IN_ERA,"All GEBAUT_IN_ERA edges point to a valid BauwerkEra vocab node",contract,get-schema,false,,PROVEN,hoch,"8 edges: range 100% ->BauwerkEra; domain Bauwerk 8 valid",KEEP,12,
A12-rel-0001,rel,r_stadt_zuerich__HAT_AKTEURROLLE__ar_bauherr_auftraggeber,stadt_zuerich,ar_bauherr_auftraggeber,HAT_AKTEURROLLE,"Stadt node Zürich is assigned actor role Bauherr_Auftraggeber",logic,get-schema domain rule: HAT_AKTEURROLLE domain = Akteur/Software,false,,SCHEMA_VIOLATION,hoch,"domain is a :Stadt (geographic place) node, not an :Akteur; correct actor stadt_zuerich_amt_hochbauten exists separately",ESCALATE_HUMAN,12,"re-point to Akteur stadt_zuerich_amt_hochbauten or remove; city-as-actor domain mismatch"
A12-rel-0002,rel,r_stadt_zuerich__HAT_AKTEURROLLE__ar_oeffentliche_hand_foerderung,stadt_zuerich,ar_oeffentliche_hand_foerderung,HAT_AKTEURROLLE,"Stadt node Zürich is assigned actor role Oeffentliche_Hand_Foerderung",logic,get-schema domain rule: HAT_AKTEURROLLE domain = Akteur/Software,false,,SCHEMA_VIOLATION,hoch,"domain is a :Stadt node, not :Akteur; correct actor stadt_zuerich_amt_hochbauten exists separately",ESCALATE_HUMAN,12,"re-point to Akteur stadt_zuerich_amt_hochbauten or remove"
A12-rel-0003,rel,r_stadt_zuerich__HAT_AKTEURTYP__at_oeffentliche_institution,stadt_zuerich,at_oeffentliche_institution,HAT_AKTEURTYP,"Stadt node Zürich is assigned actor type Oeffentliche_Institution",logic,get-schema domain rule: HAT_AKTEURTYP domain = Akteur,false,,SCHEMA_VIOLATION,hoch,"domain is a :Stadt node, not :Akteur; correct actor stadt_zuerich_amt_hochbauten exists separately",ESCALATE_HUMAN,12,"re-point to Akteur stadt_zuerich_amt_hochbauten or remove"
A12-node-0001,node,bt_fassadenelement,,,Bauteiltyp,"Vocabulary node bt_fassadenelement exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id (bt_fassadenelement); 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set human-readable name or DEPRECATE; overlaps with curated bt_fassade"
A12-node-0002,node,bt_fassadenmodul_mauerwerk,,,Bauteiltyp,"Vocabulary node bt_fassadenmodul_mauerwerk exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id; 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with bt_fassade"
A12-node-0003,node,bt_glasscheibe,,,Bauteiltyp,"Vocabulary node bt_glasscheibe exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id; 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with bt_verglasung/bt_fenster"
A12-node-0004,node,bt_hohlkoerperdecke,,,Bauteiltyp,"Vocabulary node bt_hohlkoerperdecke exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id; 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with bt_decke"
A12-node-0005,node,bt_mauerstein,,,Bauteiltyp,"Vocabulary node bt_mauerstein exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id; 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with bt_wand"
A12-node-0006,node,bt_verglasung,,,Bauteiltyp,"Vocabulary node bt_verglasung exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id; 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with bt_fenster/bt_glasscheibe"
A12-node-0007,node,mat_drahtglas,,,Material,"Vocabulary node mat_drahtglas exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id (mat_drahtglas); 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with mat_glas"
A12-node-0008,node,mat_spannbeton,,,Material,"Vocabulary node mat_spannbeton exists with a curated human-readable name",logic,get-schema + node inspection,false,,SCHEMA_VIOLATION,mittel,"name equals id (mat_spannbeton); 0 incoming edges => orphan, uncurated vocab stub",FIX_PROPERTY,12,"set name or DEPRECATE; overlaps with mat_beton/mat_stahlbeton"
