claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP02-rel-00011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863710,abc_raadgivende_ingenioerer,at_unternehmen,HAT_AKTEURTYP,abc_raadgivende_ingenioerer —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863710
EP02-rel-00012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699857967,abfallwirtschaftsbetriebe_muenster,at_oeffentliche_institution,HAT_AKTEURTYP,abfallwirtschaftsbetriebe_muenster —[HAT_AKTEURTYP]→ at_oeffentliche_institution (classifies subject as Akteurtyp vocab node at_oeffentliche_institution),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699857967
EP02-rel-00013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858503,abn_amro,at_unternehmen,HAT_AKTEURTYP,abn_amro —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858503
EP02-rel-00014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863207,abt,at_unternehmen,HAT_AKTEURTYP,abt —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863207
EP02-rel-00015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858647,adam_przywara,at_person,HAT_AKTEURTYP,adam_przywara —[HAT_AKTEURTYP]→ at_person (classifies subject as Akteurtyp vocab node at_person),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858647
EP02-rel-00016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863363,administration_des_batiments_publics,at_oeffentliche_institution,HAT_AKTEURTYP,administration_des_batiments_publics —[HAT_AKTEURTYP]→ at_oeffentliche_institution (classifies subject as Akteurtyp vocab node at_oeffentliche_institution),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863363
EP02-rel-00017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863208,adviesbureau_luning,at_unternehmen,HAT_AKTEURTYP,adviesbureau_luning —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863208
EP02-rel-00018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858618,afc_basel,at_unternehmen,HAT_AKTEURTYP,afc_basel —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858618
EP02-rel-00019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863774,ag_gruppen,at_unternehmen,HAT_AKTEURTYP,ag_gruppen —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863774
EP02-rel-00020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863794,agwa,at_unternehmen,HAT_AKTEURTYP,agwa —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863794
EP02-rel-00021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863310,aik_architektur_ingenieur_kollektiv,at_unternehmen,HAT_AKTEURTYP,aik_architektur_ingenieur_kollektiv —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863310
EP02-rel-00022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863504,ak_bpb,at_foerdergeber_programmtraeger,HAT_AKTEURTYP,ak_bpb —[HAT_AKTEURTYP]→ at_foerdergeber_programmtraeger (classifies subject as Akteurtyp vocab node at_foerdergeber_programmtraeger),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863504
EP02-rel-00023,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863491,ak_carsten_wiewiorra,at_person,HAT_AKTEURTYP,ak_carsten_wiewiorra —[HAT_AKTEURTYP]→ at_person (classifies subject as Akteurtyp vocab node at_person),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863491
EP02-rel-00024,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863517,ak_contrax_furniture,at_unternehmen,HAT_AKTEURTYP,ak_contrax_furniture —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863517
EP02-rel-00025,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863503,ak_deutsche_bundesstiftung_umwelt,at_foerdergeber_programmtraeger,HAT_AKTEURTYP,ak_deutsche_bundesstiftung_umwelt —[HAT_AKTEURTYP]→ at_foerdergeber_programmtraeger (classifies subject as Akteurtyp vocab node at_foerdergeber_programmtraeger),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863503
EP02-rel-00026,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863542,ak_drewes_speth,at_unternehmen,HAT_AKTEURTYP,ak_drewes_speth —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863542
EP02-rel-00027,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863519,ak_grants_of_shoreditch,at_unternehmen,HAT_AKTEURTYP,ak_grants_of_shoreditch —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863519
EP02-rel-00028,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863541,ak_gundlach_hannover,at_unternehmen,HAT_AKTEURTYP,ak_gundlach_hannover —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863541
EP02-rel-00029,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863543,ak_h2a_hannover,at_unternehmen,HAT_AKTEURTYP,ak_h2a_hannover —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863543
EP02-rel-00030,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863516,ak_maconda,at_software_tool_anbieter,HAT_AKTEURTYP,ak_maconda —[HAT_AKTEURTYP]→ at_software_tool_anbieter (classifies subject as Akteurtyp vocab node at_software_tool_anbieter),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863516
EP02-rel-00031,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863515,ak_method_contractor_london,at_unternehmen,HAT_AKTEURTYP,ak_method_contractor_london —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863515
EP02-rel-00032,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863530,ak_recrete_forschungsteam,at_organisation,HAT_AKTEURTYP,ak_recrete_forschungsteam —[HAT_AKTEURTYP]→ at_organisation (classifies subject as Akteurtyp vocab node at_organisation),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863530
EP02-rel-00033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863518,ak_solus,at_unternehmen,HAT_AKTEURTYP,ak_solus —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863518
EP02-rel-00034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863502,ak_tu_berlin_bauphysik,at_forschung_lehre,HAT_AKTEURTYP,ak_tu_berlin_bauphysik —[HAT_AKTEURTYP]→ at_forschung_lehre (classifies subject as Akteurtyp vocab node at_forschung_lehre),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863502
EP02-rel-00035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863489,ak_wiewiorra_hopp_architekten,at_unternehmen,HAT_AKTEURTYP,ak_wiewiorra_hopp_architekten —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863489
EP02-rel-00036,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863501,ak_zukunftsgeraeusche_gbr,at_organisation,HAT_AKTEURTYP,ak_zukunftsgeraeusche_gbr —[HAT_AKTEURTYP]→ at_organisation (classifies subject as Akteurtyp vocab node at_organisation),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863501
EP02-rel-00037,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863676,aksel_v_jensen,at_unternehmen,HAT_AKTEURTYP,aksel_v_jensen —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863676
EP02-rel-00038,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863616,akt_ii,at_unternehmen,HAT_AKTEURTYP,akt_ii —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863616
EP02-rel-00039,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699862871,akustik_ingenieurbuero_moll,at_unternehmen,HAT_AKTEURTYP,akustik_ingenieurbuero_moll —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699862871
EP02-rel-00040,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699862968,albert_and_co,at_unternehmen,HAT_AKTEURTYP,albert_and_co —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699862968
EP02-rel-00041,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863726,alinea_tt_alinea,at_unternehmen,HAT_AKTEURTYP,alinea_tt_alinea —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863726
EP02-rel-00042,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863324,alliander_liander,at_unternehmen,HAT_AKTEURTYP,alliander_liander —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863324
EP02-rel-00043,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858603,amstein_walthert,at_unternehmen,HAT_AKTEURTYP,amstein_walthert —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699858603
