provenance_id,claim_id,claim_kind,graph_element_id,from_id,to_id,rel_type_or_label,origin_quality_pass,patch_ref,patch_applied_utc,graph_mutation,synthetic_invented_by,synthetic_script,synthetic_function,synthetic_basis_type,synthetic_initial_verdict,synthetic_initial_proof_quote,f2_reproof,f2_ledger,f2_verdict,current_verdict,current_proof_quote_empty,attestation_class,git_file_status,notes
G07-011,P6-new-rel-231164700106,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700106,pn_approval_process,nf_genehmigungs_oder_zustimmungsbedarf,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:14,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_approval_process→nf_genehmigungs_oder_zustimmungsbedarf,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-012,P6-new-rel-231164700147,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700147,pn_ankerpruefung,nf_befestigungsnachweis,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:11,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_ankerpruefung→nf_befestigungsnachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-013,P6-new-rel-231164700150,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164700150,pn_petrografie,nf_rc_gesteinskoernung_eignung,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:15,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_petrografie→nf_rc_gesteinskoernung_eignung,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-014,P6-new-rel-231164703318,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703318,pr_eignungspruefung_baulehm,nf_rc_gesteinskoernung_eignung,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:16,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pr_eignungspruefung_baulehm→nf_rc_gesteinskoernung_eignung,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-015,P6-new-rel-231164703326,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164703326,pr_zustandsbewertung,nf_dauerhaftigkeit_restlebensdauer,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:13,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pr_zustandsbewertung→nf_dauerhaftigkeit_restlebensdauer,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-016,P6-new-rel-232327762353,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153084232327762353,bt_decke,nf_standsicherheitsnachweis,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:6,2026-06-06T17:45:53.317682+00:00,merge_node bt_hohlkoerperdecke→bt_decke rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-017,P6-new-rel-331839390129,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153085331839390129,bt_decke,rf_bauproduktstatus_frage,TRIGGERS_REGULIERUNGSFRAGE,Q01,quality_pass_q01.patch.jsonl:6,2026-06-06T17:45:53.317682+00:00,merge_node bt_hohlkoerperdecke→bt_decke rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-018,P6-new-rel-431351014157,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014157,pn_epd_oder_lca_nachweis,nf_oekobilanz_epd,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:2,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_epd_oder_lca_nachweis→nf_oekobilanz_epd,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-019,P6-new-rel-431351014159,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014159,pn_materialpass_oder_dpp,nf_materialpass_ressourcenpass,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:4,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_materialpass_oder_dpp→nf_materialpass_ressourcenpass,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-020,P6-new-rel-431351014160,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014160,pn_barrierefreiheitsaudit,nf_barrierefreiheit_nachweis,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:6,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_barrierefreiheitsaudit→nf_barrierefreiheit_nachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-021,P6-new-rel-431351014161,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014161,pn_elektrosicherheitspruefung,nf_elektrosicherheitsnachweis,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:8,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_elektrosicherheitspruefung→nf_elektrosicherheitsnachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-022,P6-new-rel-431351014162,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153086431351014162,pn_trinkwasser_hygiene_nachweis,nf_hygiene_und_reinigungsnachweis,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:10,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pn_trinkwasser_hygiene_nachweis→nf_hygiene_und_reinigungsnachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-023,P6-new-rel-431582503347,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162091431582503347,bt_fenster,nf_absturzsicherung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:7,2026-06-06T17:45:53.317682+00:00,merge_node bt_verglasung→bt_fenster rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-024,P6-new-rel-529699582285,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155341529699582285,bg_stahlbeton_mehrere_groeditz_wbs70_precast_panels,bw_school_type_dresden_donor,AUS_SPENDER,Q02,quality_pass_q02_deprecate.patch.jsonl:2,2026-06-06T17:46:22.763145+00:00,add_rel AUS_SPENDER redirect bw_wbs70_donor_groeditz→bw_school_type_dresden_donor,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f02.csv,PARTIAL,PROVEN,false,F2_MIXED_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-025,P6-new-rel-529699582431,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155341529699582431,bg_stahl_traeger_timber_square,bw_cleveland_steel_and_tubes_stock,AUS_SPENDER,Q02,quality_pass_q02_deprecate.patch.jsonl:1,2026-06-06T17:46:22.763145+00:00,merge redirect AUS_SPENDER from bw_externe_stahl_donor_stockholder,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-026,P6-new-rel-631768818099,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768818099,bt_fenster,nf_sicherheitsglas_info,ERFORDERT_NACHWEIS,Q01,"quality_pass_q01.patch.jsonl:2,7",2026-06-06T17:45:53.317682+00:00,merge_node bt_glasscheibe→bt_verglasung→bt_fenster rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-027,P6-new-rel-631768818199,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159839631768818199,mat_glas,nf_absturzsicherung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:8,2026-06-06T17:45:53.317682+00:00,merge_node mat_drahtglas→mat_glas rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-028,P6-new-rel-673164709898,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155243673164709898,bw_cleveland_steel_and_tubes_stock,bor_donorobjekt,HAT_BAUOBJEKTROLLE,Q02,quality_pass_q02_deprecate.patch.jsonl:1,2026-06-06T17:46:22.763145+00:00,merge_node bw_externe_stahl_donor_stockholder→bw_cleveland_steel_and_tubes_stock,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_MIXED_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-029,P6-new-rel-731280445874,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159840731280445874,bt_fassade,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,Q01,quality_pass_q01.patch.jsonl:5,2026-06-06T17:45:53.317682+00:00,merge_node bt_mauerstein→bt_fassade rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-030,P6-new-rel-831955132849,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132849,bt_decke,nf_produktstatus_und_leistungserklaerung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:6,2026-06-06T17:45:53.317682+00:00,merge_node bt_hohlkoerperdecke→bt_decke rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-031,P6-new-rel-831955132850,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132850,bt_fassade,nf_materialpruefung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:5,2026-06-06T17:45:53.317682+00:00,merge_node bt_mauerstein→bt_fassade rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-032,P6-new-rel-831955132851,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157587831955132851,bt_fenster,nf_materialpruefung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:7,2026-06-06T17:45:53.317682+00:00,merge_node bt_verglasung→bt_fenster rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-033,P6-new-rel-930303702695,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159842930303702695,p_timber_square_london,bw_cleveland_steel_and_tubes_stock,HAT_BAUWERK,Q02,quality_pass_q02_deprecate.patch.jsonl:1,2026-06-06T17:46:22.763145+00:00,merge redirect HAT_BAUWERK from bw_externe_stahl_donor_stockholder,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-034,P6-new-rel-931466760627,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466760627,bt_fenster,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,Q01,quality_pass_q01.patch.jsonl:7,2026-06-06T17:45:53.317682+00:00,merge_node bt_verglasung→bt_fenster rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-035,P6-new-rel-931466760727,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157588931466760727,mat_glas,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,Q01,quality_pass_q01.patch.jsonl:8,2026-06-06T17:45:53.317682+00:00,merge_node mat_drahtglas→mat_glas rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f03.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-036,P6-new-rel-958211485706,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211485706,bw_cleveland_steel_and_tubes_stock,stadt_london,LIEGT_IN_STADT,Q02,quality_pass_q02_deprecate.patch.jsonl:1,2026-06-06T17:46:22.763145+00:00,merge redirect inherited geo from bw_cleveland_steel_reclaimed_stock,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f02.csv,PARTIAL,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
