provenance_id,issue_class,claim_id,source_shard,introducing_agent,column_shift_root_cause,misparsed_verdict,canonical_verdict,graph_element_id,from_id,to_id,rel_type_or_label,git_intro_commit,git_intro_date,git_intro_artifact,git_file_status,remediation_status,notes
G06-011,MALFORMED_CSV_VERDICT_200,F04-node-0006,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6477,catherine_de_wolf,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-012,MALFORMED_CSV_VERDICT_200,F04-node-0007,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6201,christian_schoeningh,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-013,MALFORMED_CSV_VERDICT_200,F04-node-0008,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6540,eva_stricker,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-014,MALFORMED_CSV_VERDICT_200,F04-node-0009,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6312,fabian_sauser,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-015,MALFORMED_CSV_VERDICT_200,F04-node-0010,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6534,fabio_gramazio,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-016,MALFORMED_CSV_VERDICT_200,F04-node-0011,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6325,frederic_denise,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-017,MALFORMED_CSV_VERDICT_200,F04-node-0012,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6542,georg_hubmann,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-018,MALFORMED_CSV_VERDICT_200,F04-node-0013,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6545,guido_brandi,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-019,MALFORMED_CSV_VERDICT_200,F04-node-0014,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",,UNVERIFIABLE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6677,gxn,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-020,MALFORMED_CSV_VERDICT_200,F04-node-0015,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PARTIAL,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6397,hans_hammink,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-021,MALFORMED_CSV_VERDICT_200,F04-node-0016,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6682,hugo_topalov,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-022,MALFORMED_CSV_VERDICT_200,F04-node-0017,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,UNVERIFIABLE,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6374,jan_haerens,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-023,MALFORMED_CSV_VERDICT_200,F04-node-0018,ledger/final_cleanup_f04.csv,F04,"extra empty field: node rows use from_id,,,Akteur (3 commas) shifting http_status into verdict column",200,PROVEN,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6404,julia_turpin,,Akteur,,2026-06-06,ledger/final_cleanup_f04.csv (workspace-local),untracked,F09 merge preserved canonical verdict; shard CSV still malformed,parsed_cols=18 expected=17; F10 closeout counts 17 verdict=200 (excludes F04-node-0014 blank shift)
G06-024,MALFORMED_CSV_COLUMN_SHIFT,A13-node-pn-0001,ledger/agent_13.csv,13,"unquoted comma in basis_ref: pn coverage query (pn_no_fulfill=0, pn_isolated=0)",(blank),PROVEN,,,,,,2026-06-06,ledger/agent_13.csv,untracked,cosmetic in VERIFICATION_LEDGER.csv merge; finding intact in notes,Flagged by Agent 15 aggregator COVERAGE_PROOF.md §6 item 3
G06-025,MALFORMED_CSV_COLUMN_SHIFT,A14-INV-007,ledger/agent_14.csv,14,unquoted commas in asserted_claim and proof_quote fields on invariant row,false,PROVEN,,,,,,2026-06-06,ledger/agent_14.csv,untracked,cosmetic in VERIFICATION_LEDGER.csv merge; finding intact in notes,Flagged by Agent 15 aggregator COVERAGE_PROOF.md §6 item 3
G06-026,MALFORMED_CSV_CLUSTER,R03-EXTENDED-COLS,ledger/remediation_r03.csv,R03,23-col extended re-review schema appended after notes; 27 rows misparsed verdict=200,200 (subset),n/a,,,,,,2026-06-06,ledger/remediation_r03.csv,untracked,not merged into ELEMENT ledger as-is,27 rows affected in shard; manual CSV or DictReader with extra columns
G06-027,MALFORMED_CSV_CLUSTER,R01-EXTENDED-COLS,ledger/remediation_r01.csv,R01,18-col rows with trailing re-proof columns beyond 17-col schema,200 (subset),n/a,,,,,,2026-06-06,ledger/remediation_r01.csv,untracked,not merged into ELEMENT ledger as-is,5 rows affected in shard; manual CSV or DictReader with extra columns
