claim_id,scope,property_key,occurrences,approved_manifest,classification,drift_bucket,notes,agent_id
F07-NK-016,node,country_iso2,15,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-017,node,created_at,103,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-018,node,deprecated_am_utc,16,no,DOCUMENT_DRIFT,intentional_post_p6,vocab deprecation metadata,F07
F07-NK-019,node,deprecated_reason,16,no,DOCUMENT_DRIFT,intentional_post_p6,vocab deprecation metadata,F07
F07-NK-020,node,einheit,255,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-021,node,entwurfsbeschreibung,82,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet intake,F07
F07-NK-022,node,entwurfsbeschreibung_quelle,82,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet intake,F07
F07-NK-023,node,entwurfsqualitaet_am_utc,82,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet intake,F07
F07-NK-024,node,entwurfsqualitaet_run,82,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet intake,F07
F07-NK-025,node,entwurfsqualitaet_vokabular_version,82,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet intake,F07
F07-NK-026,node,evidence_basis,13,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-027,node,fact_index,255,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-028,node,funktionswechsel,246,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-029,node,geo_aktualisiert_am_utc,319,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake,F07
F07-NK-030,node,geo_confidence,246,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake,F07
F07-NK-031,node,geo_import_run,319,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake,F07
F07-NK-032,node,id,2263,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-033,node,intake_run,32,no,DOCUMENT_DRIFT,intentional_post_p6,vocab/run tagging,F07
F07-NK-034,node,kennwert,255,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-035,node,kind,17,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-036,node,land,5,no,DEPRECATE,legacy_residual,redundant Akteur scalar; canonical pattern is LIEGT_IN_LAND (A14-LAND-001),F07
F07-NK-037,node,latitude,299,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake,F07
F07-NK-038,node,layer,15,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-039,node,lca_modules,6,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-040,node,literature_ref,16,no,DOCUMENT_DRIFT,intentional_post_p6,vocab intake,F07
F07-NK-041,node,longitude,299,no,DOCUMENT_DRIFT,intentional_post_p6,geo intake,F07
F07-NK-042,node,maps_to_nachweisforderung,8,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-043,node,matchingqualitaet_geo,33,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-044,node,matchingqualitaet_spec,80,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-045,node,matchingqualitaet_temporal,39,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-046,node,metadata_sidecar_key,741,no,DOCUMENT_DRIFT,intentional_post_p6,phase 4b/5b sidecar pointer (legacy cleanup scope),F07
F07-NK-047,node,method,214,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-048,node,name,2008,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-049,node,name_de,16,no,DOCUMENT_DRIFT,intentional_post_p6,vocab intake,F07
F07-NK-050,node,name_full,268,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-051,node,neue_funktion,248,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-052,node,nutzung_text,90,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-053,node,primary_source_url,151,no,DOCUMENT_DRIFT,intentional_post_p6,P6 evidence model (re-introduced after phase5 drop),F07
F07-NK-054,node,projektstatus_text,69,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-055,node,rechtsbereiche,91,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-056,node,reguliert_in_laendern,3,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-057,node,reuse_status,286,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-058,node,review_run,22,no,DEPRECATE,legacy_residual,node-level run tag; bubble tagging lives on relationships,F07
F07-NK-059,node,review_status,17,no,DEPRECATE,legacy_residual,legacy QA key; offloaded in property cleanup 4b,F07
F07-NK-060,node,short_description,1,no,DEPRECATE,legacy_residual,singleton stray key (1 node),F07
F07-NK-061,node,source_quote,91,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-062,node,source_scope,22,no,DEPRECATE,legacy_residual,obsolete since 2026-06-01; target drop from PROPERTY_CLEANUP_PLAN,F07
F07-NK-063,node,source_titles,983,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-064,node,source_url,13,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-065,node,source_urls,565,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-066,node,standards_body,2,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-067,node,status,549,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-068,node,tragend,106,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-069,node,tragwerksprinzip,65,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-070,node,type,13,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-071,node,typische_bauproduktstatus,12,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-072,node,vokabular_version,16,no,DOCUMENT_DRIFT,intentional_post_p6,vocab intake,F07
F07-NK-073,node,wert,154,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-074,node,wert_text,255,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-075,node,wiederverwendungsort,254,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-076,node,wirtschaft,26,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-077,node,wirtschaft_aspekte,10,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-078,node,year_completed,42,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-079,node,year_from,5,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-080,node,year_to,5,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-NK-081,node,zertifizierungssysteme,8,yes,KEEP,approved_phase8,in approved 57-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-001,rel,actor_id,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-002,rel,actor_name,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-003,rel,aktualisiert_am_utc,158,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-004,rel,basis,599,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-005,rel,basis_project_edge_id,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-006,rel,basis_project_edge_type,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-007,rel,bauteilgruppe_id,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-008,rel,bauteilgruppe_name,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-009,rel,begruendung,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-010,rel,belegkonfidenz,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-011,rel,confidence,7018,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-012,rel,connection_kind,175,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble / project-graph enrichment,F07
F07-RK-013,rel,created_at_utc,125,no,DOCUMENT_DRIFT,intentional_post_p6,post-cleanup timestamp (phase4 drop reversed by intakes),F07
F07-RK-014,rel,dedup_run,41,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble dedup audit,F07
F07-RK-015,rel,dedupe_key,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-016,rel,dossier_section,21,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble evidence,F07
F07-RK-017,rel,evidence_basis,292,no,DOCUMENT_DRIFT,intentional_post_p6,VMA / reuse evidence model (AGENTS.md),F07
F07-RK-018,rel,evidence_confidence,326,no,DOCUMENT_DRIFT,intentional_post_p6,VMA / reuse evidence model (AGENTS.md),F07
F07-RK-019,rel,evidence_excerpt,21,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble evidence,F07
F07-RK-020,rel,evidence_origin,21,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble evidence,F07
F07-RK-021,rel,evidence_quote,300,no,DOCUMENT_DRIFT,intentional_post_p6,VMA / reuse evidence model (AGENTS.md),F07
F07-RK-022,rel,evidence_url,300,no,DOCUMENT_DRIFT,intentional_post_p6,VMA / reuse evidence model (AGENTS.md),F07
F07-RK-023,rel,extraktionsstatus,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-024,rel,fact_label,21,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble evidence,F07
F07-RK-025,rel,id,10164,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-026,rel,inference_basis,29,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-027,rel,intake_run,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet / intake tagging,F07
F07-RK-028,rel,integration_layer,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-029,rel,integration_phase,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-030,rel,kandidatentext,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-031,rel,metadata_sidecar_key,505,no,DOCUMENT_DRIFT,intentional_post_p6,phase 4b/5b sidecar pointer,F07
F07-RK-032,rel,pollutant_basis,37,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-033,rel,quell_urls,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-034,rel,rechtsgrundlage,73,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-035,rel,reversibility,5,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-036,rel,review_run,329,no,DOCUMENT_DRIFT,intentional_post_p6,reuse-bubble run tag (re-introduced post phase4b offload),F07
F07-RK-037,rel,review_status,69,no,DEPRECATE,legacy_residual,legacy QA; phase 4b target was 0 remaining,F07
F07-RK-038,rel,role,168,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-039,rel,rolle_text,12,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-040,rel,scope_note,402,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-041,rel,semantic_basis,22,no,DOCUMENT_DRIFT,intentional_post_p6,re-introduced after phase4 drop,F07
F07-RK-042,rel,shared_bauteiltyp_ids,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-043,rel,shared_material_ids,63,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-044,rel,source_quote,3531,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-045,rel,source_scope,69,no,DEPRECATE,legacy_residual,legacy scope tag; phase 4b/5b offload,F07
F07-RK-046,rel,source_url,3657,yes,KEEP,approved_phase8,in approved 22-key manifest (CLEANUP_APPLY_SUMMARY 2026-06-05),F07
F07-RK-047,rel,updated_at_utc,137,no,DOCUMENT_DRIFT,intentional_post_p6,post-cleanup timestamp (phase4 drop reversed),F07
F07-RK-048,rel,vokabular_version,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-049,rel,zuordnung_pruefung,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
F07-RK-050,rel,zuordnung_quelle,158,no,DOCUMENT_DRIFT,intentional_post_p6,entwurfsqualitaet edge metadata,F07
