claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,r03_verdict,r03_fetched,r03_http_status,r03_proof_quote,patch_ready,remediation_status
R03-011,node,services_techniques_ville_de_paris,services_techniques_ville_de_paris,ville_de_paris,,Akteur,"Technische Dienste der Stadt Paris is department of Ville de Paris",web,https://www.paris.fr/,false,,MISSING_EVIDENCE,unbelegt,"Paris city site does not equate STP department node with ville_de_paris; distinct public bodies in graph",KEEP,R03,AKT-node-381 lower-confidence; separate BETEILIGT_AN projects,DEFER,false,,Department vs municipality — not same legal entity on evidence,no,ESCALATE_HUMAN
R03-012,node,tampere_university_recreate,tampere_university_recreate,tampere_university,,Akteur,"Tampere University / ReCreate cluster duplicate of tampere_university",web,https://recreate-project.eu,true,200,PROVEN,belegt,"ReCreate project led by Tampere University researchers (Paul Jonker-Hoffrén, Aapo Räsänen, Jukka Lahdensivu)",MERGE_DUPLICATE,R03,AKT-node-415,PROVEN,true,200,Tampere University named throughout recreate-project.eu,yes,PATCH_READY
R03-013,node,tampere_university_satu_huuhka,tampere_university_satu_huuhka,tampere_university,,Akteur,"Tampere University / Satu Huuhka composite duplicates tampere_university",web,https://recreate-project.eu,true,200,PROVEN,belegt,"satu_huuhka person node separately sourced; composite is intake org+person stub",MERGE_DUPLICATE,R03,AKT-node-416,PROVEN,true,200,ReCreate Tampere University cluster; Satu Huuhka person retained,yes,PATCH_READY
R03-014,node,tool_bim_bauteilkatalog,tool_bim_bauteilkatalog,tool_bauteilkatalog,,Software,"BIM/digital Bauteilkatalog generic concept duplicates Bauteilkatalog tool node",logic,agent_10 A10-N-015,false,,MISSING_EVIDENCE,,"No source_urls; generic methodology labels not named software products",ESCALATE_HUMAN,R03,A10-N-015 MERGE_DUPLICATE deferred,REJECT,false,,Generic concept nodes — deprecate/relabel not merge,no,ESCALATE_HUMAN
R03-015,node,software_bim,software_bim,tool_bauteilkatalog,,Software,"BIM software node duplicates Bauteilkatalog tool node",logic,agent_10 A10-N-001/N-014,false,,MISSING_EVIDENCE,,"Building Information Modeling is a method not a product; self-wiring NUTZT_SOFTWARE has no factual basis",ESCALATE_HUMAN,R03,BIM generic concept cluster,REJECT,false,,Not same legal/product entity,no,ESCALATE_HUMAN
R03-016,node,software_bim,software_bim,tool_bim_bauteilkatalog,,Software,"BIM software node duplicates tool_bim_bauteilkatalog",logic,agent_10 A10-R-048,false,,SCHEMA_VIOLATION,,"Near-duplicate generic Software nodes with bidirectional NUTZT_SOFTWARE",ESCALATE_HUMAN,R03,generic-concept self-wiring,REJECT,false,,Vocabulary miscast as Software,no,ESCALATE_HUMAN
R03-017,node,tool_bauteilkatalog,tool_bauteilkatalog,tool_bim_bauteilkatalog,,Software,"Bauteilkatalog and BIM Bauteilkatalog tool nodes overlap",logic,agent_10,false,,MISSING_EVIDENCE,,"Both unsourced generic concept Software nodes",ESCALATE_HUMAN,R03,BIM/Bauteilkatalog triple overlap,REJECT,false,,No identity URL for either,no,ESCALATE_HUMAN
R03-018,node,prog_recreate_local,prog_recreate_local,prog_recreate,,Programm,"ReCreate Finnish cluster mini-pilot is sub-label of ReCreate programme",web,https://recreate-project.eu,true,200,PARTIAL,teilweise_belegt,"ReCreate EU project real; prog_recreate_local is dossier sub-pilot label not distinct legal programme",ESCALATE_HUMAN,R03,A10-R-089; TEIL_VON_PROGRAMM edge exists,DEFER,false,,Sub-pilot vs parent programme — human relabel/merge choice,no,ESCALATE_HUMAN
R03-019,node,harvestmap,harvestmap,re_store_harvestmap_vienna,,Akteur,"harvestmap stub is HarvestMAP Vienna operator",web,https://www.materialnomaden.at/about,true,200,PROVEN,belegt,"re:store operated by HarvestMAP Vienna",MERGE_DUPLICATE,R03,Covered by R04 R04-node-001 patch — not duplicated in R03 patch,REFERENCE_R04,true,200,HarvestMAP Vienna operates re:store,no,PATCH_R04
R03-020,node,rau,rau,thomas_rau,,Akteur,"rau firm stub duplicate of thomas_rau person",web,https://thomasrau.eu/en/initiatives/rau,true,200,CONTRADICTION,belegt,"RAU architectural firm since 1992 vs Thomas Rau person — distinct entity types",KEEP,R03,R04 R04-identity-001 PROVEN distinct — no merge,REFERENCE_R04,true,200,RAU firm vs Thomas Rau person,no,N/A
R03-021,node,rau,rau,rau_architects,,Akteur,"rau and rau_architects are duplicate firm nodes",web,https://thomasrau.eu/en/initiatives/rau,true,200,PARTIAL,teilweise_belegt,"thomasrau.eu names architectural firm RAU; graph has rau and rau_architects both at_unternehmen",ESCALATE_HUMAN,R03,R04 R04-escalate-001 deferred,DEFER,true,200,Possible duplicate firms — needs project-level cross-check,no,ESCALATE_HUMAN
R03-022,node,tool_oogstkaart_harvest_map,tool_oogstkaart_harvest_map,harvestmap,,Software,"Oogstkaart NL tool same as harvestmap Akteur",web,https://superuse-studios.com/projects/oogstkaart/,true,200,CONTRADICTION,belegt,"Superuse Oogstkaart.nl adopted by New Horizon 2020 — NL platform; harvestmap sourced materialnomaden.at Vienna operator",KEEP,R03,R04: distinct from HarvestMAP Vienna,PROVEN,true,200,Oogstkaart developed by Superuse; Vienna HarvestMAP is separate AT operator,no,N/A
R03-023,node,tool_oogstkaart_harvest_map,tool_oogstkaart_harvest_map,re_store_harvestmap_vienna,,Software,"Oogstkaart tool same as re:store Vienna",web,https://superuse-studios.com/projects/oogstkaart/,true,200,CONTRADICTION,belegt,"Oogstkaart B.V. spun off to New Horizon; re:store Vienna operated by materialnomaden HarvestMAP Vienna",KEEP,R03,NL methodology vs AT marketplace — keep separate,PROVEN,true,200,Distinct products and jurisdictions,no,N/A
R03-024,node,ville_de_paris_pavillon_arsenal,ville_de_paris_pavillon_arsenal,ville_de_paris,,Akteur,"Pavillon de l'Arsenal is Ville de Paris",web,https://www.paris.fr/,false,,MISSING_EVIDENCE,,"Pavillon Arsenal is city architecture centre — related but graph assigns distinct BETEILIGT_AN on same project",ESCALATE_HUMAN,R03,AKT-node-452 vs ville_de_paris,DEFER,false,,Institution vs municipality — not proven same node,no,ESCALATE_HUMAN
R03-025,node,ville_de_paris_pavillon_arsenal,ville_de_paris_pavillon_arsenal,services_techniques_ville_de_paris,,Akteur,"Pavillon Arsenal is technical services department",logic,graph structure,false,,MISSING_EVIDENCE,,"Both public institutions on p_circular_pavilion_paris but different roles",ESCALATE_HUMAN,R03,Paris cluster review,DEFER,false,,No URL equating entities,no,ESCALATE_HUMAN
R03-026,node,frederic_denise,frederic_denise,archipel_zero,,Akteur,"Frédéric Denise person affiliated with Archipel zéro firm",web,https://www.archipelzero.com,true,timeout,PARTIAL,teilweise_belegt,"Person sourced with archipelzero.com URLs; firm archipel_zero separate — correct model after composite merge",KEEP,R03,Post R03-008 merge person+firm split preserved,PROVEN,true,200,archipelzero.com on person node — do not merge person into firm,no,N/A
R03-027,node,angelika_mettke,angelika_mettke,btu_cottbus,,Akteur,"Angelika Mettke duplicate of BTU Cottbus",web,https://recreate-project.eu,true,200,CONTRADICTION,belegt,"Mettke is person researcher; btu_cottbus is organisation — composite merge only",KEEP,R03,Person node retained after R03-006,PROVEN,true,200,Separate person and org nodes correct,no,N/A
R03-028,node,satu_huuhka,satu_huuhka,tampere_university,,Akteur,"Satu Huuhka duplicate of Tampere University",web,https://recreate-project.eu,true,200,CONTRADICTION,belegt,"Huuhka is person; tampere_university is org — composite merge only",KEEP,R03,Person node retained after R03-013,PROVEN,true,200,Separate person and org nodes correct,no,N/A
R03-029,node,iemb_tu_berlin,iemb_tu_berlin,tu_berlin,,Akteur,"IEMB institute duplicate of TU Berlin university node",web,https://portal.dnb.de/opacPresentation?cqlMode=true&query=idn%3D007761945,true,200,CONTRADICTION,belegt,"IEMB is affiliated institute e.V. at TU Berlin — distinct from tu_berlin parent org node",KEEP,R03,Correct hierarchy after composite dedup,PROVEN,true,200,IEMB institute an der TU Berlin not interchangeable with TU Berlin,no,N/A
R03-030,node,structural_xploration_lab_epfl,structural_xploration_lab_epfl,epfl,,Akteur,"SXL lab duplicate of EPFL university",web,https://www.epfl.ch/labs/sxl/team/,true,200,CONTRADICTION,belegt,"SXL is EPFL lab unit; epfl is parent university — keep both after lab composite merge",KEEP,R03,Lab vs university hierarchy,PROVEN,true,200,SXL is lab within EPFL,no,N/A
R03-031,node,Superuse_Studios,Superuse_Studios,superuse_studios_2012architecten,,Akteur,"Superuse Studios duplicate",web,https://superuse-studios.com,true,200,PROVEN,belegt,Wave-1 merge applied,KEEP,R03,RESOLVED wave-1 merge_duplicate_nodes_high_confidence,RESOLVED,true,200,Already merged 2026-06-06,no,APPLIED
R03-032,node,ak_cityfoerster,ak_cityfoerster,CITYFOERSTER,,Akteur,CITYFOERSTER duplicate,web,https://cityfoerster.net,true,200,PROVEN,belegt,Wave-1 merge applied,KEEP,R03,RESOLVED wave-1,RESOLVED,true,200,Already merged,no,APPLIED
R03-033,node,artelia_group,artelia_group,artelia,,Akteur,Artelia Group duplicate,web,https://www.artelia-group.com,true,200,PROVEN,belegt,Wave-1 merge applied,KEEP,R03,RESOLVED wave-1,RESOLVED,true,200,Already merged,no,APPLIED
R03-034,node,bureau_greisch,bureau_greisch,greisch,,Akteur,Bureau Greisch duplicate,web,https://www.greisch.com,true,200,PROVEN,belegt,Wave-1 merge applied,KEEP,R03,RESOLVED wave-1,RESOLVED,true,200,Already merged,no,APPLIED
R03-035,node,graber_pulver_architektinnen,graber_pulver_architektinnen,graber_pulver,,Akteur,Graber Pulver duplicate,web,https://graberpulver.ch,true,200,PROVEN,belegt,Wave-1 merge applied,KEEP,R03,RESOLVED wave-1,RESOLVED,true,200,Already merged,no,APPLIED
R03-036,node,tool_qflow,tool_qflow,software_qflow,,Software,Qflow tool/software duplicate,web,https://qualisflow.com,true,200,PROVEN,belegt,Wave-1 merge applied (Qualis Flow construction Qflow),KEEP,R03,RESOLVED wave-1,RESOLVED,true,200,Already merged,no,APPLIED
