claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w4_w4_01-0001,rel,,Rotor,maarten_gielen,VERBUNDEN_MIT_AKTEUR,Rotor -VERBUNDEN_MIT_AKTEUR-> maarten_gielen (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0012,rel,,catherine_de_wolf,eth_zuerich,VERBUNDEN_MIT_AKTEUR,catherine_de_wolf -VERBUNDEN_MIT_AKTEUR-> eth_zuerich (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0013,rel,,circular_material_systems,georg_hubmann,VERBUNDEN_MIT_AKTEUR,circular_material_systems -VERBUNDEN_MIT_AKTEUR-> georg_hubmann (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0014,rel,,circular_material_systems,tu_berlin,VERBUNDEN_MIT_AKTEUR,circular_material_systems -VERBUNDEN_MIT_AKTEUR-> tu_berlin (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0015,rel,,cirkla,pascal_flammer_architekten,VERBUNDEN_MIT_AKTEUR,cirkla -VERBUNDEN_MIT_AKTEUR-> pascal_flammer_architekten (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0016,rel,,corentin_fivet,epfl,VERBUNDEN_MIT_AKTEUR,corentin_fivet -VERBUNDEN_MIT_AKTEUR-> epfl (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0017,rel,,encore_heureux,julien_choppin,VERBUNDEN_MIT_AKTEUR,encore_heureux -VERBUNDEN_MIT_AKTEUR-> julien_choppin (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0018,rel,,fabian_sauser,bischof_foehn_architektur,VERBUNDEN_MIT_AKTEUR,fabian_sauser -VERBUNDEN_MIT_AKTEUR-> bischof_foehn_architektur (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0019,rel,,fabio_gramazio,eth_zuerich,VERBUNDEN_MIT_AKTEUR,fabio_gramazio -VERBUNDEN_MIT_AKTEUR-> eth_zuerich (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0020,rel,,felix_dillmann,re_win,VERBUNDEN_MIT_AKTEUR,felix_dillmann -VERBUNDEN_MIT_AKTEUR-> re_win (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0021,rel,,georg_hubmann,tu_berlin,VERBUNDEN_MIT_AKTEUR,georg_hubmann -VERBUNDEN_MIT_AKTEUR-> tu_berlin (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0022,rel,,gramazio_kohler_research,eth_zuerich,VERBUNDEN_MIT_AKTEUR,gramazio_kohler_research -VERBUNDEN_MIT_AKTEUR-> eth_zuerich (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0023,rel,,maarten_gielen,opalis,VERBUNDEN_MIT_AKTEUR,maarten_gielen -VERBUNDEN_MIT_AKTEUR-> opalis (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0024,rel,,matthias_kohler,eth_zuerich,VERBUNDEN_MIT_AKTEUR,matthias_kohler -VERBUNDEN_MIT_AKTEUR-> eth_zuerich (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0025,rel,,matthias_neitsch,re_use_austria,VERBUNDEN_MIT_AKTEUR,matthias_neitsch -VERBUNDEN_MIT_AKTEUR-> re_use_austria (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0026,rel,,nomol,re_win,VERBUNDEN_MIT_AKTEUR,nomol -VERBUNDEN_MIT_AKTEUR-> re_win (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0027,rel,,romm_zt,thomas_romm,VERBUNDEN_MIT_AKTEUR,romm_zt -VERBUNDEN_MIT_AKTEUR-> thomas_romm (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0028,rel,,zirkulie_bauteilboerse_triesen,re_win,VERBUNDEN_MIT_AKTEUR,zirkulie_bauteilboerse_triesen -VERBUNDEN_MIT_AKTEUR-> re_win (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0029,rel,,zrs_ingenieure,lxsy_architektur,VERBUNDEN_MIT_AKTEUR,zrs_ingenieure -VERBUNDEN_MIT_AKTEUR-> lxsy_architektur (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
