claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
EP01-rel-00011,rel,r_Lendager__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,Lendager,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,Lendager (Lendager) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Lendager)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921644,rel
EP01-rel-00012,rel,r_Natural_Building_Lab__HAT_AKTEURROLLE__ar_bauausfuehrung_fertigung,Natural_Building_Lab,ar_bauausfuehrung_fertigung,HAT_AKTEURROLLE,Natural Building Lab (Natural_Building_Lab) has actor role Bauausfuehrung_Fertigung (ar_bauausfuehrung_fertigung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Natural_Building_Lab)-[:HAT_AKTEURROLLE]->(ar_bauausfuehrung_fertigung:Akteurrolle name='Bauausfuehrung_Fertigung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921639,rel
EP01-rel-00013,rel,r_Natural_Building_Lab__HAT_AKTEURROLLE__ar_forschung_dokumentation,Natural_Building_Lab,ar_forschung_dokumentation,HAT_AKTEURROLLE,Natural Building Lab (Natural_Building_Lab) has actor role Forschung_Dokumentation (ar_forschung_dokumentation),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Natural_Building_Lab)-[:HAT_AKTEURROLLE]->(ar_forschung_dokumentation:Akteurrolle name='Forschung_Dokumentation'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236391,rel
EP01-rel-00014,rel,r_Rotor__HAT_AKTEURROLLE__ar_bauausfuehrung_fertigung,Rotor,ar_bauausfuehrung_fertigung,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Bauausfuehrung_Fertigung (ar_bauausfuehrung_fertigung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_bauausfuehrung_fertigung:Akteurrolle name='Bauausfuehrung_Fertigung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166534558070348163,rel
EP01-rel-00015,rel,r_Rotor__HAT_AKTEURROLLE__ar_entwurf_planung,Rotor,ar_entwurf_planung,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Entwurf_Planung (ar_entwurf_planung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_entwurf_planung:Akteurrolle name='Entwurf_Planung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164282758256662915,rel
EP01-rel-00016,rel,r_Rotor__HAT_AKTEURROLLE__ar_fachplanung_nachweis,Rotor,ar_fachplanung_nachweis,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Fachplanung_Nachweis (ar_fachplanung_nachweis),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_fachplanung_nachweis:Akteurrolle name='Fachplanung_Nachweis'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162030958442977667,rel
EP01-rel-00017,rel,r_Rotor__HAT_AKTEURROLLE__ar_forschung_dokumentation,Rotor,ar_forschung_dokumentation,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Forschung_Dokumentation (ar_forschung_dokumentation),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_forschung_dokumentation:Akteurrolle name='Forschung_Dokumentation'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159779158629292419,rel
EP01-rel-00018,rel,r_Rotor__HAT_AKTEURROLLE__ar_materiallieferung_markt,Rotor,ar_materiallieferung_markt,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Materiallieferung_Markt (ar_materiallieferung_markt),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_materiallieferung_markt:Akteurrolle name='Materiallieferung_Markt'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236675,rel
EP01-rel-00019,rel,r_Rotor__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,Rotor,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921923,rel
EP01-rel-00020,rel,r_Rotor__HAT_AKTEURROLLE__ar_rueckbau_bauteilernte_logistik,Rotor,ar_rueckbau_bauteilernte_logistik,HAT_AKTEURROLLE,Rotor (Rotor) has actor role Rueckbau_Bauteilernte_Logistik (ar_rueckbau_bauteilernte_logistik),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Rotor)-[:HAT_AKTEURROLLE]->(ar_rueckbau_bauteilernte_logistik:Akteurrolle name='Rueckbau_Bauteilernte_Logistik'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157527358815607171,rel
EP01-rel-00021,rel,r_Werner_Sobek__HAT_AKTEURROLLE__ar_fachplanung_nachweis,Werner_Sobek,ar_fachplanung_nachweis,HAT_AKTEURROLLE,Werner Sobek (Werner_Sobek) has actor role Fachplanung_Nachweis (ar_fachplanung_nachweis),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Werner_Sobek)-[:HAT_AKTEURROLLE]->(ar_fachplanung_nachweis:Akteurrolle name='Fachplanung_Nachweis'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188236635,rel
EP01-rel-00022,rel,r_Werner_Sobek__HAT_AKTEURROLLE__ar_forschung_dokumentation,Werner_Sobek,ar_forschung_dokumentation,HAT_AKTEURROLLE,Werner Sobek (Werner_Sobek) has actor role Forschung_Dokumentation (ar_forschung_dokumentation),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Werner_Sobek)-[:HAT_AKTEURROLLE]->(ar_forschung_dokumentation:Akteurrolle name='Forschung_Dokumentation'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159779158629292379,rel
EP01-rel-00023,rel,r_Werner_Sobek__HAT_AKTEURROLLE__ar_reuse_zirkularitaetsberatung,Werner_Sobek,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,Werner Sobek (Werner_Sobek) has actor role Reuse_Zirkularitaetsberatung (ar_reuse_zirkularitaetsberatung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (Werner_Sobek)-[:HAT_AKTEURROLLE]->(ar_reuse_zirkularitaetsberatung:Akteurrolle name='Reuse_Zirkularitaetsberatung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155275559001921883,rel
EP01-rel-00024,rel,r_abc_raadgivende_ingenioerer__HAT_AKTEURROLLE__ar_fachplanung_nachweis,abc_raadgivende_ingenioerer,ar_fachplanung_nachweis,HAT_AKTEURROLLE,ABC Rådgivende Ingeniører / ABC Consulting Engineers (abc_raadgivende_ingenioerer) has actor role Fachplanung_Nachweis (ar_fachplanung_nachweis),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abc_raadgivende_ingenioerer)-[:HAT_AKTEURROLLE]->(ar_fachplanung_nachweis:Akteurrolle name='Fachplanung_Nachweis'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7012206874397251591,rel
EP01-rel-00025,rel,r_abfallwirtschaftsbetriebe_muenster__HAT_AKTEURROLLE__ar_bauherr_auftraggeber,abfallwirtschaftsbetriebe_muenster,ar_bauherr_auftraggeber,HAT_AKTEURROLLE,Abfallwirtschaftsbetriebe Münster (abfallwirtschaftsbetriebe_muenster) has actor role Bauherr_Auftraggeber (ar_bauherr_auftraggeber),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abfallwirtschaftsbetriebe_muenster)-[:HAT_AKTEURROLLE]->(ar_bauherr_auftraggeber:Akteurrolle name='Bauherr_Auftraggeber'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188230191,rel
EP01-rel-00026,rel,r_abfallwirtschaftsbetriebe_muenster__HAT_AKTEURROLLE__ar_betrieb_nutzung,abfallwirtschaftsbetriebe_muenster,ar_betrieb_nutzung,HAT_AKTEURROLLE,Abfallwirtschaftsbetriebe Münster (abfallwirtschaftsbetriebe_muenster) has actor role Betrieb_Nutzung (ar_betrieb_nutzung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abfallwirtschaftsbetriebe_muenster)-[:HAT_AKTEURROLLE]->(ar_betrieb_nutzung:Akteurrolle name='Betrieb_Nutzung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159779158629285935,rel
EP01-rel-00027,rel,r_abfallwirtschaftsbetriebe_muenster__HAT_AKTEURROLLE__ar_oeffentliche_hand_foerderung,abfallwirtschaftsbetriebe_muenster,ar_oeffentliche_hand_foerderung,HAT_AKTEURROLLE,Abfallwirtschaftsbetriebe Münster (abfallwirtschaftsbetriebe_muenster) has actor role Oeffentliche_Hand_Foerderung (ar_oeffentliche_hand_foerderung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abfallwirtschaftsbetriebe_muenster)-[:HAT_AKTEURROLLE]->(ar_oeffentliche_hand_foerderung:Akteurrolle name='Oeffentliche_Hand_Foerderung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157527358815600687,rel
EP01-rel-00028,rel,r_abn_amro__HAT_AKTEURROLLE__ar_bauherr_auftraggeber,abn_amro,ar_bauherr_auftraggeber,HAT_AKTEURROLLE,ABN AMRO (abn_amro) has actor role Bauherr_Auftraggeber (ar_bauherr_auftraggeber),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abn_amro)-[:HAT_AKTEURROLLE]->(ar_bauherr_auftraggeber:Akteurrolle name='Bauherr_Auftraggeber'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188230727,rel
EP01-rel-00029,rel,r_abt__HAT_AKTEURROLLE__ar_fachplanung_nachweis,abt,ar_fachplanung_nachweis,HAT_AKTEURROLLE,ABT (abt) has actor role Fachplanung_Nachweis (ar_fachplanung_nachweis),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (abt)-[:HAT_AKTEURROLLE]->(ar_fachplanung_nachweis:Akteurrolle name='Fachplanung_Nachweis'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6958163678868805639,rel
EP01-rel-00030,rel,r_adam_przywara__HAT_AKTEURROLLE__ar_forschung_dokumentation,adam_przywara,ar_forschung_dokumentation,HAT_AKTEURROLLE,Adam Przywara (adam_przywara) has actor role Forschung_Dokumentation (ar_forschung_dokumentation),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (adam_przywara)-[:HAT_AKTEURROLLE]->(ar_forschung_dokumentation:Akteurrolle name='Forschung_Dokumentation'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188230871,rel
EP01-rel-00031,rel,r_administration_des_batiments_publics__HAT_AKTEURROLLE__ar_bauherr_auftraggeber,administration_des_batiments_publics,ar_bauherr_auftraggeber,HAT_AKTEURROLLE,Administration des bâtiments publics (administration_des_batiments_publics) has actor role Bauherr_Auftraggeber (ar_bauherr_auftraggeber),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (administration_des_batiments_publics)-[:HAT_AKTEURROLLE]->(ar_bauherr_auftraggeber:Akteurrolle name='Bauherr_Auftraggeber'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153023759188235587,rel
EP01-rel-00032,rel,r_administration_des_batiments_publics__HAT_AKTEURROLLE__ar_oeffentliche_hand_foerderung,administration_des_batiments_publics,ar_oeffentliche_hand_foerderung,HAT_AKTEURROLLE,Administration des bâtiments publics (administration_des_batiments_publics) has actor role Oeffentliche_Hand_Foerderung (ar_oeffentliche_hand_foerderung),contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"Every `Akteur` has `HAT_AKTEURROLLE`, `HAT_AKTEURTYP` when inferable, and `BELEGT_IN`. | live (administration_des_batiments_publics)-[:HAT_AKTEURROLLE]->(ar_oeffentliche_hand_foerderung:Akteurrolle name='Oeffentliche_Hand_Foerderung'); target in controlled_vocabulary.seed.kg.jsonl",KEEP,EP-01,domain=Akteur; range=Akteurrolle,EP-01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6955911879055120396,rel
