claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP03-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607070,backacia,bt_boden,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Boden,web,https://opalis.eu/fr/fournisseurs/backacia,true,200,PROVEN,belegt,Opalis names revêtements de sol / floor coverings.,ADD_SOURCE,EP-03,"R07:R07-0067; bauteilboersen_enrichment_json; token_hits=2/5 sample=['opalis', 'revetements']; review_run=remediation_r07_2026_06_06",element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607070
EP03-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551326,backacia,bt_daemmung,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Daemmung,web,https://opalis.eu/fr/fournisseurs/backacia,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0173; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551326
EP03-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236574,backacia,bt_fenster,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Fenster,web,https://opalis.eu/fr/fournisseurs/backacia,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0174; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236574
EP03-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866078,backacia,bt_technik,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Technik,web,https://backacia.com/,true,200,PARTIAL,teilweise_belegt,page fetched (R07 cache) but no verbatim edge-level quote retained,RESOURCE,EP-03,R07:R07-0068; page fetched but quote weak; bauteilboersen_enrichment_json,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866078
EP03-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180830,backacia,bt_wand,HAT_BAUTEILTYP,backacia -HAT_BAUTEILTYP-> Wand,web,https://opalis.eu/fr/fournisseurs/backacia,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0175; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180830
EP03-0019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180831,baticycle,bt_ausbau,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Ausbau,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_ausbau (Ausbau); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180831
EP03-0020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866079,baticycle,bt_boden,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Boden,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_boden (Boden); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866079
EP03-0021,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662815,baticycle,bt_daemmung,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Daemmung,web,https://baticycle.fr/,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0176; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662815
EP03-0022,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551327,baticycle,bt_decke,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Decke,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_decke (Decke); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551327
EP03-0023,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977567,baticycle,bt_fenster,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Fenster,web,https://baticycle.fr/,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0177; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977567
EP03-0024,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236575,baticycle,bt_technik,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Technik,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_technik (Technik); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236575
EP03-0025,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292319,baticycle,bt_treppe,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Treppe,web,https://baticycle.fr/,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0178; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292319
EP03-0026,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921823,baticycle,bt_tuer,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Tuer,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_tuer (Tuer); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921823
EP03-0027,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607071,baticycle,bt_wand,HAT_BAUTEILTYP,baticycle -HAT_BAUTEILTYP-> Wand,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baticycle -HAT_BAUTEILTYP-> bt_wand (Wand); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607071
EP03-0028,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180832,batiterre,bt_ausbau,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Ausbau,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_ausbau (Ausbau); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180832
EP03-0029,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866080,batiterre,bt_boden,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Boden,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_boden (Boden); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866080
EP03-0030,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551328,batiterre,bt_dach,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Dach,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_dach (Dach); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443551328
EP03-0031,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236576,batiterre,bt_daemmung,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Daemmung,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_daemmung (Daemmung); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257236576
EP03-0032,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921824,batiterre,bt_fenster,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Fenster,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_fenster (Fenster); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070921824
EP03-0033,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607072,batiterre,bt_gelaender,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Gelaender,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_gelaender (Gelaender); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884607072
EP03-0034,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292320,batiterre,bt_technik,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Technik,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_technik (Technik); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1166499373698292320
EP03-0035,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977568,batiterre,bt_treppe,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Treppe,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_treppe (Treppe); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1168751173511977568
EP03-0036,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662816,batiterre,bt_tuer,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Tuer,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_tuer (Tuer); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1171002973325662816
EP03-0037,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1173254773139348064,batiterre,bt_wand,HAT_BAUTEILTYP,batiterre -HAT_BAUTEILTYP-> Wand,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge batiterre -HAT_BAUTEILTYP-> bt_wand (Wand); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1173254773139348064
EP03-0038,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866081,batrecup,bt_fenster,HAT_BAUTEILTYP,batrecup -HAT_BAUTEILTYP-> Fenster,web,https://www.batrecup.com/batrecup-lappli-cest-parti,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0179; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629866081
EP03-0039,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180833,batrecup,bt_tuer,HAT_BAUTEILTYP,batrecup -HAT_BAUTEILTYP-> Tuer,web,https://www.batrecup.com/batrecup-lappli-cest-parti,true,200,PARTIAL,teilweise_belegt,empty quote or page,RESOURCE,EP-03,R07:R07-0180; page fetched but quote weak; actor_node_source_urls,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816180833
EP03-0040,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147887,baukarussell,bt_boden,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Boden,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_boden (Boden); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816147887
EP03-0041,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629833135,baukarussell,bt_dach,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Dach,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_dach (Dach); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155240374629833135
EP03-0042,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443518383,baukarussell,bt_fassade,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Fassade,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_fassade (Fassade); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157492174443518383
EP03-0043,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257203631,baukarussell,bt_fenster,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Fenster,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_fenster (Fenster); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159743974257203631
EP03-0044,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888879,baukarussell,bt_technik,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Technik,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_technik (Technik); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1161995774070888879
EP03-0045,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884574127,baukarussell,bt_tuer,HAT_BAUTEILTYP,baukarussell -HAT_BAUTEILTYP-> Tuer,contract,_neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,Live edge baukarussell -HAT_BAUTEILTYP-> bt_tuer (Tuer); domain Akteur valid; range Bauteiltyp vocab node per _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,KEEP,EP-03,Tier-C vocab edge; A12 aggregate decomposed to element row; no external evidence_url,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1164247573884574127
