projekt_id,projekt_name,staedte,laender,bauwerke,status,matchingqualitaet_geo
p_liander_alliander_hq_duiven,Liander,Duiven,Niederlande,Alliander;Bestandsensemble…,Realisiert,Geo: lokal (<50 km)
p_lo_reninge_town_hall_facade,Lo-Reninge Town Hall…,Lo-Reninge,Belgien,Rathaus Lo-Reninge;Ehemaliges Kloster…,Realisiert,Geo: lokal (<50 km)
p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,Tampere,Finnland,1980er Bürogebäude im…;Metso Lokomotion…;Technikbau und Personalr…;Consolis Parma Werk…,In_Bau,
p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,Luxembourg-Limpertsberg,Luxemburg,Lycée Lucius Campus;Lycée Lucius B3000;Lycée Lucius B6000;Neue Esplanade und…,Realisiert,Geo: lokal (<50 km)
p_lysp8,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel,,,,,
p_maison_dna_asse,Maison DnA,Asse,Belgien,Maison DnA Einfamilienha…,Realisiert,
p_maison_vignette_auderghem,Maison Vignette,Auderghem / Brüssel,Belgien,Maison Vignette Einfamil…;Diverse Reuse-Quellen…;Solvay-Gebäude als…,Realisiert,
p_maison_des_canaux_paris,"Maison des Canaux, Paris",Paris,Frankreich,Maison des Canaux…,Realisiert,Geo: lokal (<50 km)
p_meduni_campus_mariannengasse,MedUni Campus Wien,Wien,Österreich,MedUni Campus Wien,,
p_mehrow_pilot_house,Mehrow Pilot House,"Mehrow, Brandenburg",Deutschland,Mehrow Pilotwohnhaus;Abgerissener Marzahner…,Realisiert,Geo: regional
p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,Helsinki,Finnland,Melkinlaituri elementary…;Suutarila community…,"['In_Bau', 'Realisiert']",
p_montessori_maassluis,Montessori Maassluis,Maassluis,Niederlande,Montessorischool…,"['Geplant', 'In_Bau']",
p_multi_brussels_reuse_in_multi,Multi Brussels,Brüssel,Belgien,Gén. de Banque BXL;Ehemaliger Philips;Externe Urban-Mining-Que…,Realisiert,Geo: lokal (<50 km)
p_musee_de_folklore_mouscron,Musée de Folklore Vie…,Mouscron,Belgien,Musée de Folklore Vie…;Acht Abbruchquellen in…,Realisiert,
p_oxy_centre_monnaie,OXY Centre Monnaie,,,,,
p_plp_london_hq_circular_studio_fitout,PLP London HQ circular…,London,Vereinigtes Königreich,PLP Studio im White…;The White Chapel Building;vorheriges PLP Studio,Realisiert,
p_peoples_pavilion_eindhoven,People’s Pavilion…,Eindhoven,Niederlande,People’s Pavilion…,"['Realisiert', 'Rueckgebaut', 'Temporaer']",
p_plattenpalast_berlin,Plattenpalast Berlin,Berlin,Deutschland,Plattenpalast Kleinsthaus;rückgebaute WBS70-Platte…;Palast der Republik…;Peter-Behrens-Halle…,"['Prototyp', 'Realisiert']",
p_plattenvereinigung_berlin,Plattenvereinigung Berlin,Berlin,Deutschland,Plattenvereinigung…;Peter-Behrens-Halle TU…;Olympisches Dorf München;PH12-Punkthochhaus…,"['Prototyp', 'Realisiert', 'Temporaer']",
p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,,Schweiz,Re:Crete Fußgängerbrücke…,Prototyp,
p_recyclinghaus_hannover,Recyclinghaus Hannover,Hannover,Deutschland,Recyclinghaus Hannover;ehemaliges Haus der…;alte/stillgelegte…;Sportzentrum,"['Prototyp', 'Realisiert']",Geo: lokal (<50 km)
p_recypark_demets_anderlecht,Recypark Demets,Brüssel / Anderlecht,Belgien,Recypark Demets Hallenst…,Realisiert,Geo: lokal (<50 km)
p_resource_rows_copenhagen,Resource Rows,Kopenhagen,Dänemark,Resource Rows Wohngebäude,Realisiert,
p_roots_in_the_sky_blackfriars_crown_court,Roots in the Sky,London,Vereinigtes Königreich,Blackfriars Crown Court,"['Geplant', 'Verworfen']",
p_resilience_la_ferme_des_possibles_stains,Résilience,Stains,Frankreich,Résilience Betriebs-…,Realisiert,Geo: lokal (<50 km)
p_superlocal_expogebouw_bleijerheide,SUPERLOCAL Expogebouw,Bleijerheide / Kerkrade,Niederlande,Expogebouw;Hochhausflat Ursulastraat,"['Prototyp', 'Realisiert']",
p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,Paso Robles / Templeton Gap,USA,Saxum Vineyard Equipment…,Realisiert,Geo: international
p_schaerenmoosstrasse_zuerich,Schärenmoosstr. ZH,Zürich,Schweiz,Schärenmoosstr. ZH;UBS Datenz. Altstetten,,
p_svanen_kindergarten_gladsaxe,Svanen,Gladsaxe,Dänemark,Børnehuset Svanen;Ehemalige Gladsaxe School,Realisiert,Geo: lokal (<50 km)
p_trae_high_rise_aarhus,TRÆ High-Rise,Aarhus,Dänemark,TRÆ High-Rise Holzhochha…;Ausgemusterte Windkrafta…;Herlev Dach;Gellerupparken Rückbau-W…,Realisiert,
p_the_green_house_utrecht,The Green House Utrecht,Utrecht,Niederlande,The Green House Utrecht;Ehemalige Knoopkazerne;Alte Kade in Tiel,"['Realisiert', 'Temporaer']",
p_thoravej_29_copenhagen,Thoravej 29 Copenhagen,Kopenhagen,Dänemark,Thoravej 29 Bestandsgebä…,Realisiert,Geo: lokal (<50 km)
p_timber_square_london,Timber Square London,London,Vereinigtes Königreich,Timber Square Print…;Timber Square Ink…,"['In_Bau', 'Unklar']",Geo: lokal (<50 km)
p_umar_unit,UMAR Unit,Dübendorf,Schweiz,UMAR Unit Dübendorf;Gén. de Banque BXL,,
p_upcycle_studios_copenhagen,Upcycle Studios Copenhag…,Kopenhagen,Dänemark,Upcycle Studios Reihenha…;Öffentliche Wohnbauten…;Copenhagen Metro…,Realisiert,
p_verbiest_karreveld_brussels,Verbiest + Karreveld,Brüssel,Belgien,Karreveld Bürogebäude…;Palais des Expositions…;Altes Projekt in…,Realisiert,Geo: lokal (<50 km)
p_association_house_groeditz,Vereinshaus Gröditz,Gröditz,Deutschland,Sport-/Vereinshaus…;School type Dresden…,Realisiert,
p_association_house_plauen,Vereinshaus Plauen,Plauen,Deutschland,Sport-/Vereinshaus Plauen;IW73/6 mass-housing…,Realisiert,
p_villa_welpeloo_enschede,Villa Welpeloo Enschede,Enschede,Niederlande,Villa Welpeloo Wohnhaus…;Paternoster-;Twente,Realisiert,Geo: regional
p_woongroep_boschgaard_den_bosch,Woongroep Boschgaard…,s-Hertogenbosch,Niederlande,Boschgaard Wohnprojekt…;Bibliothek De Brenthof…;Stadskantoor Roosendaal;Weitere regionale…,Realisiert,
p_zinneke_feder_masui4ever_brussels,Zinneke,Brüssel,Belgien,Zinneke Masui4ever…;Ehemaliger Sitz der…;Bürohochhaus im Zentrum…,Realisiert,Geo: lokal (<50 km)
p_gjg_house_gentbrugge,gjG House,Gentbrugge / Ghent,Belgien,gjG House,Realisiert,
