anchor_id,decision,actor_kind,material_bauteiltyp_claims_to_import,reason,finalest_status,strict_total_claim_rows,strict_material_ids,strict_bauteiltyp_ids,review_total_claim_rows,review_material_ids,review_bauteiltyp_ids,scope_evidence_rows,safe_import_summary
rotordc,TAKE,core marketplace/shop,YES,Strict product evidence exists; additional broad claims remain review-only.,STRICT_EVIDENCE_AVAILABLE,2,mat_keramik,,22,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_technik;bt_treppe;bt_tuer;bt_wand,0,IMPORT strict claims: mat_keramik
salvoweb,TAKE,core marketplace/directory,NO,"Relevant reuse marketplace/directory, but exact material/type evidence is too thin.",REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,1,,bt_tuer,0,Do not import exact material/type claims from current evidence
skop_marketplace,TAKE,marketplace/aggregator,NO,Relevant marketplace for reuse materials; exact claims need product-level proof before import.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,10,mat_daemmstoff;mat_holz,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_technik;bt_tuer;bt_wand,0,Do not import exact material/type claims from current evidence
software_restado,TAKE,core marketplace/shop,YES,Strict product/category evidence available.,STRICT_EVIDENCE_AVAILABLE,6,mat_holz;mat_keramik,bt_boden;bt_dach;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: mat_holz;mat_keramik; bt_boden;bt_dach;bt_tuer;bt_wand
surplus_building_and_plumbing_materials,TAKE,core marketplace/shop,NO,Relevant building-material surplus actor; current evidence is category/scope rather than strict product-level import.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,7,mat_daemmstoff;mat_holz;mat_ziegel,bt_dach;bt_daemmung;bt_technik;bt_wand,0,Do not import exact material/type claims from current evidence
sustainability_yard,TAKE,core marketplace/shop,NO,Relevant reclaimed/surplus building-material marketplace; current evidence mostly accepted-scope/category.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,14,mat_daemmstoff;mat_holz;mat_naturstein;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,0,Do not import exact material/type claims from current evidence
useagain_bauteilclick,TAKE,core marketplace/shop,YES,Strict category/listing evidence available.,STRICT_EVIDENCE_AVAILABLE,3,mat_stahl,bt_fenster;bt_technik,5,mat_glas;mat_holz;mat_keramik;mat_kunststoff,bt_tuer,0,IMPORT strict claims: mat_stahl; bt_fenster;bt_technik
globechain,TAKE_AS_RELATED_ONLY,broad reuse platform with construction vertical,NO,Relevant to reuse ecosystem but not a construction-specific public Bauteilbörse for exact claims.,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
loopfront,TAKE_AS_RELATED_ONLY,reuse software/platform,NO,"Useful as digital reuse infrastructure, not a public materialbörse with stock categories.",SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
material_reuse_portal,TAKE_AS_RELATED_ONLY,aggregator/search portal,NO,Take as aggregator; do not treat materials/types as its own stock.,STRICT_EVIDENCE_AVAILABLE,1,,bt_dach,15,mat_glas;mat_holz;mat_stahl,bt_boden;bt_decke;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,1,Do not import exact material/type claims from current evidence
new_horizon,TAKE_AS_RELATED_ONLY,urban mining/material supplier,NO,Relevant urban-mining reuse actor; no public marketplace-style exact material/type import yet.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,3,mat_beton,bt_dach;bt_fassade,0,Do not import exact material/type claims from current evidence
raedificare,TAKE_AS_RELATED_ONLY,professional reuse marketplace/platform,NO,Relevant marketplace platform but catalogue is not open enough for exact public material/type claims.,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
resource_marktplaats,TAKE_AS_RELATED_ONLY,construction-materials app,NO,"Relevant app/platform, but no public product categories for exact import.",SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
salza,TAKE_AS_RELATED_ONLY,bauteil platform,NO,"Relevant platform for reuse, but no open exact material/type categories.",SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
reuse_and_trade,DO_NOT_TAKE,general surplus/non-construction evidence,NO,"Current evidence is furniture/general surplus, not clean construction-component reuse.",STRICT_EVIDENCE_AVAILABLE,2,,bt_boden;bt_tuer,6,mat_holz;mat_stahl,bt_gelaender;bt_technik;bt_treppe,0,Do not import exact material/type claims from current evidence
warp_it,DO_NOT_TAKE,general resource redistribution platform,NO,Adjacent reuse platform; not a core construction-material Bauteilbörse.,SCOPE_ONLY_NO_MATERIAL_BT_CLAIMS,0,,,0,,,1,Do not import exact material/type claims from current evidence
