"final_status","final_role","entity","id","title","origin_group","migration_status","came_from","final_path","current_path"
"include_final","core entity","akteur","Circular_Structural_Design","Circular Structural Design","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Circular_Structural_Design.md","_database/akteur/Circular_Structural_Design/index.md",".\_graph\akteur\Circular_Structural_Design\index.md"
"include_final","core entity","akteur","CITYFOERSTER","CITYFOERSTER","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\CITYFOERSTER.md","_database/akteur/CITYFOERSTER/index.md",".\_graph\akteur\CITYFOERSTER\index.md"
"include_final","core entity","akteur","Cleveland_Steel_and_Tubes","Cleveland Steel and Tubes","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\55_Great_Suffolk_Street_London.md; Gebäude\Brent_Cross_Town_Primary_Substation_London.md","_database/akteur/Cleveland_Steel_and_Tubes/index.md",".\_graph\akteur\Cleveland_Steel_and_Tubes\index.md"
"include_final","core entity","akteur","Concular","Concular — vertieftes Forschungsdossier","old knowledge","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\Concular.md","_database/akteur/Concular/index.md",".\_graph\akteur\Concular\index.md"
"include_final","core entity","akteur","Consolis_Parma","Consolis Parma","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","_database/akteur/Consolis_Parma/index.md",".\_graph\akteur\Consolis_Parma\index.md"
"include_final","core entity","akteur","CRCLR_House","CRCLR House","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\CRCLR_House.md","_database/akteur/CRCLR_House/index.md",".\_graph\akteur\CRCLR_House\index.md"
"include_final","core entity","akteur","desiree_mann","Désirée / Desiree Mann — relevance to reuse","old knowledge","migrated_phase3_core_entities","person\desiree_mann.md","_database/akteur/desiree_mann/index.md",".\_graph\akteur\desiree_mann\index.md"
"include_final","core entity","akteur","DGNB","DGNB","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","_database/akteur/DGNB/index.md",".\_graph\akteur\DGNB\index.md"
"include_final","core entity","akteur","Dirk_Hebel","Dirk Hebel","old knowledge","migrated_phase3_core_entities","dirk-hebel.md","_database/akteur/Dirk_Hebel/index.md",".\_graph\akteur\Dirk_Hebel\index.md"
"include_final","core entity","akteur","Drees_und_Sommer","Drees & Sommer","old knowledge","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","_database/akteur/Drees_und_Sommer/index.md",".\_graph\akteur\Drees_und_Sommer\index.md"
"include_final","core entity","akteur","ellen_macarthur","Dame Ellen MacArthur — relevance to reuse","old knowledge","migrated_phase3_core_entities","person\ellen_macarthur.md","_database/akteur/ellen_macarthur/index.md",".\_graph\akteur\ellen_macarthur\index.md"
"include_final","core entity","akteur","EPEA","EPEA","old knowledge","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","_database/akteur/EPEA/index.md",".\_graph\akteur\EPEA\index.md"
"include_final","core entity","akteur","fred_mudge","Fred Mudge — relevance to reuse","old knowledge","migrated_phase3_core_entities","person\fred_mudge.md","_database/akteur/fred_mudge/index.md",".\_graph\akteur\fred_mudge\index.md"
"include_final","core entity","akteur","gj_bart_van_den_brink","G.J. / Bart van den Brink — relevance to reuse","old knowledge","migrated_phase3_core_entities","person\gj_bart_van_den_brink.md","_database/akteur/gj_bart_van_den_brink/index.md",".\_graph\akteur\gj_bart_van_den_brink\index.md"
"include_final","core entity","akteur","Haus_der_Materialisierung","Haus der Materialisierung","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","_database/akteur/Haus_der_Materialisierung/index.md",".\_graph\akteur\Haus_der_Materialisierung\index.md"
"include_final","core entity","akteur","Huetten_und_Palaeste","Huetten_und_Palaeste","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Huetten_und_Palaeste.md","_database/akteur/Huetten_und_Palaeste/index.md",".\_graph\akteur\Huetten_und_Palaeste\index.md"
"include_final","core entity","akteur","IfM_Initiativen_fuer_Materialkreislaeufe","IfM – Initiativen für Materialkreisläufe","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","_database/akteur/IfM_Initiativen_fuer_Materialkreislaeufe/index.md",".\_graph\akteur\IfM_Initiativen_fuer_Materialkreislaeufe\index.md"
"include_final","core entity","akteur","IMd_Raadgevende_Ingenieurs","IMd Raadgevende Ingenieurs","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\BioPartner_5_Leiden_Oegstgeest.md; Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; Gebäude\Montessori_Maassluis.md","_database/akteur/IMd_Raadgevende_Ingenieurs/index.md",".\_graph\akteur\IMd_Raadgevende_Ingenieurs\index.md"
"include_final","core entity","akteur","Kerstin_Mueller","Kerstin Müller","old knowledge","migrated_phase3_core_entities","kerstin-müller.md","_database/akteur/Kerstin_Mueller/index.md",".\_graph\akteur\Kerstin_Mueller\index.md"
"include_final","core entity","akteur","Kunst_Stoffe_Berlin","Kunst-Stoffe Berlin","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","_database/akteur/Kunst_Stoffe_Berlin/index.md",".\_graph\akteur\Kunst_Stoffe_Berlin\index.md"
"include_final","core entity","akteur","Lendager","Lendager","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Lendager.md","_database/akteur/Lendager/index.md",".\_graph\akteur\Lendager\index.md"
"include_final","core entity","akteur","Lindner_Group_ReUsed_Products","Lindner Group ReUsed Products","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","_database/akteur/Lindner_Group_ReUsed_Products/index.md",".\_graph\akteur\Lindner_Group_ReUsed_Products\index.md"
"include_final","core entity","akteur","LXSY_Architektur","LXSY Architektur","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","_database/akteur/LXSY_Architektur/index.md",".\_graph\akteur\LXSY_Architektur\index.md"
"include_final","core entity","akteur","Madaster","Madaster — vertieftes Forschungsdossier","old knowledge","migrated_phase3_core_entities","akteur\08_digitale_plattformen_daten\Madaster.md","_database/akteur/Madaster/index.md",".\_graph\akteur\Madaster\index.md"
"include_final","core entity","akteur","Material_Mafia","Material Mafia","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Material_Mafia.md","_database/akteur/Material_Mafia/index.md",".\_graph\akteur\Material_Mafia\index.md"
"include_final","core entity","akteur","Nachhaltiges_Bauen","Nachhaltiges Bauen","old knowledge","migrated_phase3_core_entities","nachhaltiges-bauen.md","_database/akteur/Nachhaltiges_Bauen/index.md",".\_graph\akteur\Nachhaltiges_Bauen\index.md"
"include_final","core entity","akteur","Natural_Building_Lab","B(e) Ware / Natural Building Lab — vertieftes Forschungsdossier","old knowledge","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","_database/akteur/Natural_Building_Lab/index.md",".\_graph\akteur\Natural_Building_Lab\index.md"
"include_final","core entity","akteur","PARABASE","PARABASE — vertieftes Forschungsdossier","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","_database/akteur/PARABASE/index.md",".\_graph\akteur\PARABASE\index.md"
"include_final","core entity","akteur","patrick_teuffel","Patrick Teuffel — relevance to reuse","old knowledge","migrated_phase3_core_entities","person\patrick_teuffel.md","_database/akteur/patrick_teuffel/index.md",".\_graph\akteur\patrick_teuffel\index.md"
"include_final","core entity","akteur","Phase_Nachhaltigkeit","Phase Nachhaltigkeit","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","_database/akteur/Phase_Nachhaltigkeit/index.md",".\_graph\akteur\Phase_Nachhaltigkeit\index.md"
"include_final","core entity","akteur","Ramboll_Finland","Ramboll Finland","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","_database/akteur/Ramboll_Finland/index.md",".\_graph\akteur\Ramboll_Finland\index.md"
"include_final","core entity","akteur","Restado","Restado","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","_database/akteur/Restado/index.md",".\_graph\akteur\Restado\index.md"
"include_final","core entity","akteur","ReUse_Berlin","ReUse Berlin","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\ReUse_Berlin.md","_database/akteur/ReUse_Berlin/index.md",".\_graph\akteur\ReUse_Berlin\index.md"
"include_final","core entity","akteur","re_source_Stiftung","re!source Stiftung e.V.","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\re_source_Stiftung.md","_database/akteur/re_source_Stiftung/index.md",".\_graph\akteur\re_source_Stiftung\index.md"
"include_final","core entity","akteur","Rotor","Rotor","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Rotor.md","_database/akteur/Rotor/index.md",".\_graph\akteur\Rotor\index.md"
"include_final","core entity","akteur","Rotor_DC","Rotor DC","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","_database/akteur/Rotor_DC/index.md",".\_graph\akteur\Rotor_DC\index.md"
"include_final","core entity","akteur","Skanska_Finland","Skanska Finland","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","_database/akteur/Skanska_Finland/index.md",".\_graph\akteur\Skanska_Finland\index.md"
"include_final","core entity","akteur","Superuse_Studios","Superuse Studios","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Superuse_Studios.md","_database/akteur/Superuse_Studios/index.md",".\_graph\akteur\Superuse_Studios\index.md"
"include_final","core entity","akteur","Umacon","Umacon","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","_database/akteur/Umacon/index.md",".\_graph\akteur\Umacon\index.md"
"include_final","core entity","akteur","Umweltbundesamt","Umweltbundesamt","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\Umweltbundesamt.md","_database/akteur/Umweltbundesamt/index.md",".\_graph\akteur\Umweltbundesamt\index.md"
"include_final","core entity","akteur","Unternehmerverband_Historische_Baustoffe_UHB","Unternehmerverband Historische Baustoffe e.V. (UHB)","old knowledge","migrated_phase3_core_entities","akteur\Unternehmerverband_Historische_Baustoffe_UHB.md","_database/akteur/Unternehmerverband_Historische_Baustoffe_UHB/index.md",".\_graph\akteur\Unternehmerverband_Historische_Baustoffe_UHB\index.md"
"include_final","core entity","akteur","VDI_ZRE","VDI ZRE","old knowledge","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\VDI_ZRE.md","_database/akteur/VDI_ZRE/index.md",".\_graph\akteur\VDI_ZRE\index.md"
"include_final","core entity","akteur","Werner_Sobek","Werner Sobek","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Werner_Sobek.md","_database/akteur/Werner_Sobek/index.md",".\_graph\akteur\Werner_Sobek\index.md"
"include_final","core entity","akteur","Wuppertal_Institut","Wuppertal Institut","old knowledge","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\Wuppertal_Institut.md","_database/akteur/Wuppertal_Institut/index.md",".\_graph\akteur\Wuppertal_Institut\index.md"
"include_final","core entity","akteur","Zirkular_GmbH","Zirkular GmbH","old knowledge","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","_database/akteur/Zirkular_GmbH/index.md",".\_graph\akteur\Zirkular_GmbH\index.md"
"include_final","core entity","akteur","ZRS_Architekten_Ingenieure","ZRS Architekten Ingenieure","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\ZRS_Architekten_Ingenieure.md","_database/akteur/ZRS_Architekten_Ingenieure/index.md",".\_graph\akteur\ZRS_Architekten_Ingenieure\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","Fabrix - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__001__Fabrix\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","Hawkins\Brown - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__002__Hawkins_Brown\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__003__Symmetrys","Symmetrys - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__003__Symmetrys/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__003__Symmetrys\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__004__AKT_II","AKT II - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__004__AKT_II/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__004__AKT_II\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__005__CBRE","CBRE - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__005__CBRE/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__005__CBRE\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__006__Opera","Opera - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__006__Opera/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__006__Opera\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__007__Gardiner_Theobald","Gardiner & Theobald - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__007__Gardiner_Theobald/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__007__Gardiner_Theobald\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__008__Cantillon","Cantillon - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__008__Cantillon/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__008__Cantillon\index.md"
"include_final","core entity","akteur_beteiligung","55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes","Cleveland Steel and Tubes - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\55_Great_Suffolk_Street_London.md","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes/index.md",".\_graph\akteur_beteiligung\55_Great_Suffolk_Street_London__009__Cleveland_Steel_and_Tubes\index.md"
"include_final","core entity","akteur_beteiligung","Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter","Polony 2008; Mettke/Heyn/Dechantsreiter als Literaturquellen - Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\Association_house_Groeditz.md","_database/akteur_beteiligung/Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter/index.md",".\_graph\akteur_beteiligung\Association_house_Groeditz__001__Polony_2008_Mettke_Heyn_Dechantsreiter_als_Liter\index.md"
"include_final","core entity","akteur_beteiligung","Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al","Angelika Mettke / Heyn et al. / Dechantsreiter et al. / Fischer et al. - Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\Association_house_Plauen.md","_database/akteur_beteiligung/Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al/index.md",".\_graph\akteur_beteiligung\Association_house_Plauen__001__Angelika_Mettke_Heyn_et_al_Dechantsreiter_et_al\index.md"
"include_final","core entity","akteur_beteiligung","AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte","Abfallwirtschaftsbetriebe Münster, urselmann interior, Concular, Petra Jablonická, Sven Urselmann - AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\AWM_Muenster_Circular_Office.md","_database/akteur_beteiligung/AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte/index.md",".\_graph\akteur_beteiligung\AWM_Muenster_Circular_Office__001__Abfallwirtschaftsbetriebe_M_nster_urselmann_inte\index.md"
"include_final","core entity","akteur_beteiligung","BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus","Bill Dunster / ZEDfactory; BioRegional; Peabody Trust; Arup; Ellis & Moore; Gardiner & Theobald - BedZED, London / Hackbridge — Fallstudie Direct Reuse / Bauteilwiederverwendung","split reuse/building examples","migrated_phase4_case_graph","Gebäude\BedZED_London_Hackbridge.md","_database/akteur_beteiligung/BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus/index.md",".\_graph\akteur_beteiligung\BedZED_London_Hackbridge__001__Bill_Dunster_ZEDfactory_BioRegional_Peabody_Trus\index.md"
"include_final","core entity","akteur_beteiligung","Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE","Hervé Biele / Architekturbüro Conclus; Claus Asam / IEMB - Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\Berlin_Schildow_Pilot_House_2.md","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE/index.md",".\_graph\akteur_beteiligung\Berlin_Schildow_Pilot_House_2__001__Herv_Biele_Architekturb_ro_Conclus_Claus_Asam_IE\index.md"
"include_final","core entity","akteur_beteiligung","Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange","Detlev Lange / Familie Lange - Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\Berlin_Schildow_Pilot_House_2.md","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange/index.md",".\_graph\akteur_beteiligung\Berlin_Schildow_Pilot_House_2__002__Detlev_Lange_Familie_Lange\index.md"
"include_final","core entity","akteur_beteiligung","Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu","Claus Asam, IEMB/TU Berlin; Architekturbüro Conclus / Hervé Biele bzw. Joel Biele - Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen","split reuse/building examples","migrated_phase4_case_graph","Gebäude\Berlin_Schildow_Pilot_House.md","_database/akteur_beteiligung/Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu/index.md",".\_graph\akteur_beteiligung\Berlin_Schildow_Pilot_House__001__Claus_Asam_IEMB_TU_Berlin_Architekturb_ro_Conclu\index.md"
