source,source_entity,source_id,relation,target,target_entity,target_id,field,raw_label,confidence,resolution_rule,legacy_path,original_source,original_relation,original_target,edge_cleaning
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,has_akteurrolle,akteurrolle/Reuse_Beratung,akteurrolle,Reuse_Beratung,beziehung,Fachplanung Bauteilwiederverwendung / spätere Gründung,rule_high,role_reuse_consulting,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,has_akteurrolle,akteurrolle/Reuse_Beratung,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,involves_akteur,akteur/Zirkular_GmbH,akteur,Zirkular_GmbH,akteur_candidate,Zirkular GmbH,manual_high,akteur_manual_alias,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,involves_akteur,akteur/Zirkular_GmbH,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__003__Zirkular_GmbH,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,has_akteurrolle,akteurrolle/Forschung_Dokumentation,akteurrolle,Forschung_Dokumentation,beziehung,Forschung / Dokumentation,rule_high,role_research_documentation,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,has_akteurrolle,akteurrolle/Forschung_Dokumentation,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__004__ZHAW_IKE,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,has_akteurrolle,akteurrolle/Tragwerksplanung,akteurrolle,Tragwerksplanung,beziehung,Bauingenieur / Civil engineer,rule_high,role_structural_engineering,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,has_akteurrolle,akteurrolle/Tragwerksplanung,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__005__Oberli_Ingenieurbau_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,has_akteurrolle,akteurrolle/Stahlbau_Fertigung,akteurrolle,Stahlbau_Fertigung,beziehung,Holzbauingenieur,rule_high,role_fabrication,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,has_akteurrolle,akteurrolle/Stahlbau_Fertigung,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,has_akteurrolle,akteurrolle/Tragwerksplanung,akteurrolle,Tragwerksplanung,beziehung,Holzbauingenieur,rule_high,role_structural_engineering,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,has_akteurrolle,akteurrolle/Tragwerksplanung,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__006__Josef_Kolb_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,has_akteurrolle,akteurrolle/Stahlbau_Fertigung,akteurrolle,Stahlbau_Fertigung,beziehung,Stahlbau,rule_high,role_fabrication,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,has_akteurrolle,akteurrolle/Stahlbau_Fertigung,unchanged
akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,akteur_beteiligung,K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,akteur_beteiligung/K118_Kopfbau_Halle_118_Winterthur__007__Wetter_AG,relates_to_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,measures_kennwertdefinition,kennwertdefinition/Flaeche,kennwertdefinition,Flaeche,kennwert_label,Fläche,rule_high,kennwert_flaeche,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__001__Fl_che,measures_kennwertdefinition,kennwertdefinition/Flaeche,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measures_kennwertdefinition,kennwertdefinition/Geschosse,kennwertdefinition,Geschosse,kennwert_label,Geschosse Aufstockung,rule_high,kennwert_geschosse,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measures_kennwertdefinition,kennwertdefinition/Geschosse,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measures_kennwertdefinition,kennwertdefinition/Materialmenge,kennwertdefinition,Materialmenge,kennwert_label,Geschosse Aufstockung,rule_medium,kennwert_materialmenge,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__002__Geschosse_Aufstockung,measures_kennwertdefinition,kennwertdefinition/Materialmenge,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,fallstudie,K118_Kopfbau_Halle_118_Winterthur,fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,belongs_to_fallstudie,fallstudie/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,projekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,belongs_to_projekt,projekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,bauobjekt,K118_Kopfbau_Halle_118_Winterthur,structural,frontmatter,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measured_on_bauobjekt,bauobjekt/K118_Kopfbau_Halle_118_Winterthur,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measures_kennwertdefinition,kennwertdefinition/Abmessung,kennwertdefinition,Abmessung,kennwert_label,Wiederverwendungsrate Gewicht,rule_medium,kennwert_abmessung,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measures_kennwertdefinition,kennwertdefinition/Abmessung,unchanged
datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,datenpunkt,K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measures_kennwertdefinition,kennwertdefinition/Wiederverwendungsquote,kennwertdefinition,Wiederverwendungsquote,kennwert_label,Wiederverwendungsrate Gewicht,rule_medium,kennwert_reuse_quote,Gebäude\K118_Kopfbau_Halle_118_Winterthur.md,datenpunkt/K118_Kopfbau_Halle_118_Winterthur__003__Wiederverwendungsrate_Gewicht,measures_kennwertdefinition,kennwertdefinition/Wiederverwendungsquote,unchanged
