rel_type,property,rel_count,coverage,coverage_pct,distinct_values,suggested_verdict,samples
HAT_RECHTLICHE_BEDINGUNG,evidence_confidence,15,15,100.0,1,KEEP,teilweise_belegt
HAT_RECHTLICHE_BEDINGUNG,id,15,6,40.0,6,KEEP,bg_reuse_stahl_mehrere_brent_cross_bracing_members__HAT_RECHTLICHE_BEDINGUNG__r… | bg_reuse_stahl_mehrere_brent_cross_bracing_members__HAT_RECHTLICHE_BEDINGUNG__r… | bg_reuse_stahl_mehrere_brent_cross_tubular_columns__HAT_RECHTLICHE_BEDINGUNG__r… | bg_reuse_stahl_mehrere_brent_cross_tubular_columns__HAT_RECHTLICHE_BEDINGUNG__r…
HAT_RESSOURCENQUELLE,id,552,552,100.0,552,KEEP,r_bw_cleveland_steel_and_tubes_stock__HAT_RESSOURCENQUELLE__rq_lager | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_RESSOURCENQUELLE__rq_donorge… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_RESSOURCENQUELLE__rq_donorgeba… | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_RESSOURCENQUELLE__rq_donorge…
HAT_RESSOURCENQUELLE,evidence_confidence,552,552,100.0,1,KEEP,unklar
HAT_RUECKBAUVERFAHREN,id,299,299,100.0,299,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_RUECKBAUVERFAHREN__rv_zersto… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_RUECKBAUVERFAHREN__rv_zerstoer… | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_RUECKBAUVERFAHREN__rv_zersto… | r_bg_reuse_stahlbeton_mehrere_big_dig_house_inverset_panels__HAT_RUECKBAUVERFAH…
HAT_RUECKBAUVERFAHREN,evidence_confidence,299,299,100.0,1,KEEP,unklar
HAT_STATUS,id,655,655,100.0,655,KEEP,r_p_55_great_suffolk_street_london__HAT_STATUS__status_unklar | r_bw_55_great_suffolk_street_warehouse__HAT_STATUS__status_realisiert | r_bw_1_broadgate_london__HAT_STATUS__status_realisiert | r_bw_cleveland_steel_and_tubes_stock__HAT_STATUS__status_realisiert
HAT_STATUS,evidence_confidence,655,655,100.0,1,KEEP,unklar
HAT_TRAGWERKSPRINZIP,id,71,71,100.0,71,KEEP,r_bg_reuse_mehrere_mehrere_alliander_common_roof_atrium__HAT_TRAGWERKSPRINZIP__… | r_bg_reuse_beton_mehrere_bestandverplanzung_betonfertigteil_paneele__HAT_TRAGWE… | r_bg_planned_mehrere_mehrere_big_dig_building_geplante_infrastrukturbauteile__H… | r_bg_reuse_mehrere_mehrere_big_dig_house_ramp_pier_roadway_components__HAT_TRAG…
HAT_TRAGWERKSPRINZIP,evidence_confidence,71,71,100.0,1,KEEP,unklar
HAT_TYPISCHEN_BAUPRODUKTSTATUS,id,19,19,100.0,19,KEEP,r_land_deutschland__HAT_TYPISCHEN_BAUPRODUKTSTATUS__bps_ce_hen | r_land_deutschland__HAT_TYPISCHEN_BAUPRODUKTSTATUS__bps_ue_zeichen | r_land_deutschland__HAT_TYPISCHEN_BAUPRODUKTSTATUS__bps_zie_vbg | r_land_usa__HAT_TYPISCHEN_BAUPRODUKTSTATUS__bps_ibc_104_11_alternative
HAT_TYPISCHEN_BAUPRODUKTSTATUS,evidence_confidence,19,19,100.0,1,KEEP,unklar
HAT_VERBINDUNGSTECHNIK,id,128,128,100.0,128,KEEP,r_bg_reuse_holz_mehrere_brettschichtholzbogen_recypark_demets__HAT_VERBINDUNGST… | r_bg_reuse_holz_mehrere_cascadeup_clst_floor_panels__HAT_VERBINDUNGSTECHNIK__vt… | r_bg_reuse_holz_wand_cascadeup_clst__HAT_VERBINDUNGSTECHNIK__vt_reversible_fueg… | r_bg_reuse_mehrere_mehrere_christ_pavilion_cloister_glass_facade__HAT_VERBINDUN…
HAT_VERBINDUNGSTECHNIK,evidence_confidence,128,128,100.0,1,KEEP,unklar
HAT_VERBINDUNGSTECHNIK,reversibility,128,6,4.7,2,KEEP,partially_reversible | reversible
HAT_WIEDERVERWENDUNGSART,id,604,604,100.0,604,KEEP,r_p_55_great_suffolk_street_london__HAT_WIEDERVERWENDUNGSART__wva_direkte_wiede… | r_p_association_house_groeditz__HAT_WIEDERVERWENDUNGSART__wva_direkte_wiederver… | r_p_association_house_plauen__HAT_WIEDERVERWENDUNGSART__wva_direkte_wiederverwe… | r_p_bedzed_london_hackbridge__HAT_WIEDERVERWENDUNGSART__wva_direkte_wiederverwe…
HAT_WIEDERVERWENDUNGSART,evidence_confidence,604,604,100.0,1,KEEP,unklar
HAT_WIRTSCHAFT,id,41,41,100.0,41,KEEP,r_p_55_great_suffolk_street_london__HAT_WIRTSCHAFT__wi_capex_hoeher_subvention | r_p_bedzed_london_hackbridge__HAT_WIRTSCHAFT__wi_capex_neutral | r_prog_stuttgart_210__HAT_WIRTSCHAFT__wi_capex_niedriger_direkter_ersparnis | r_prog_stuttgart_210__HAT_WIRTSCHAFT__wi_restwert
HAT_WIRTSCHAFT,evidence_confidence,41,41,100.0,1,KEEP,unklar
HAT_WIRTSCHAFTSASPEKT,id,11,11,100.0,11,KEEP,r_bg_reuse_stahl_mehrere_bedzed_structural__HAT_WIRTSCHAFTSASPEKT__wi_kostenver… | r_bg_reuse_glas_mehrere_elys_restposten_windows__HAT_WIRTSCHAFTSASPEKT__wi_rest… | r_bg_reuse_stahlbeton_mehrere_haus_hos_floor_elements__HAT_WIRTSCHAFTSASPEKT__w… | r_bg_reuse_stahlbeton_treppe_haus_hos__HAT_WIRTSCHAFTSASPEKT__wi_kostenvergleich
HAT_WIRTSCHAFTSASPEKT,evidence_confidence,11,11,100.0,1,KEEP,unklar
HAT_ZERTIFIZIERUNG,evidence_confidence,12,12,100.0,1,KEEP,unklar
HAT_ZUSTANDSKLASSE,id,36,36,100.0,36,KEEP,r_bg_retained_mehrere_mehrere_sms_zuerich_existing_bldgs__HAT_ZUSTANDSKLASSE__z… | r_bg_reuse_mehrere_mehrere_sms_zuerich_ubs_hall__HAT_ZUSTANDSKLASSE__zk_unbekan… | r_bg_planned_stahl_fassade_sms_zuerich_arcade__HAT_ZUSTANDSKLASSE__zk_unbekannt… | r_bg_reuse_holz_wand_umar_timber_facade__HAT_ZUSTANDSKLASSE__zk_neuwertig
HAT_ZUSTANDSKLASSE,evidence_confidence,36,36,100.0,1,KEEP,unklar
