"source","old_relation","old_target","raw_label","existing_clean_huerde_edges","logistikproblem_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/Lokomotion_Technology_Centre_mini_pilot_Tampere__001__Hohlk_rperdecken","has_huerde","huerde/Logistikproblem","Integration in Montagefolge/Logistik","huerde/Anschlussproblem","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__010__Pflaster_Bodenplatten_au_en","has_huerde","huerde/Logistikproblem","Logistik/Lagerung","huerde/Fehlende_Lagerflaeche","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_huerde","huerde/Logistikproblem","Passung, Transport, Glaszustand","huerde/Kompatibilitaetsproblem; huerde/Zustand_Unklar","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\AWM_Muenster_Circular_Office.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__001__Wohnungsteile_Betonunits","has_huerde","huerde/Logistikproblem","Risse beim Kran-/Trailertransport, Maßhaltigkeit","huerde/Toleranzen","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_huerde","huerde/Logistikproblem","Transport, Gewicht, Einpassung","huerde/Kompatibilitaetsproblem","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_huerde","huerde/Logistikproblem","Transport/Montage","huerde/Anschlussproblem","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Christ_Pavilion_Volkenroda.md"
"reuse_einsatz/Mehrow_Pilot_House__002__Deckenplatten","has_huerde","huerde/Logistikproblem","Transportgewicht, Montage","huerde/Anschlussproblem","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad Logistikproblem.","Gebäude\Mehrow_Pilot_House.md"
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","has_huerde","huerde/Logistikproblem","Logistik","","keep_review_logistics_too_broad","","","none","Raw label is too broad or needs source context.","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md"
"reuse_einsatz/Lycee_Michel_Lucius_Conversion_Luxembourg__006__Stra_enpflasterplatten","has_huerde","huerde/Logistikproblem","Logistik","","keep_review_logistics_too_broad","","","none","Raw label is too broad or needs source context.","Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","has_huerde","huerde/Logistikproblem","Logistik","","keep_review_logistics_too_broad","","","none","Raw label is too broad or needs source context.","Gebäude\Multi_Brussels_Reuse_in_MULTI.md"
