"source","old_relation","old_target","raw_label","existing_clean_huerde_edges","performance_nachweis_decision","suggested_target","suggested_relation","database_change","rationale","legacy_path"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__003__Holz_Alu_Fenster_Au_enfenster","has_huerde","huerde/Performance_Nachweis","Brandschutz/Energieanforderungen komplizierter als Sanitär","huerde/Brandschutzkonflikt","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_huerde","huerde/Performance_Nachweis","experimentelle Eignung","huerde/Unkonventionelles_Material","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Brighton_Waste_House_Brighton.md"
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_huerde","huerde/Performance_Nachweis","fehlendes Werkszeugnis; Gewährleistung; Zeit/Kosten","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__010__Sanit_rapparate","has_huerde","huerde/Performance_Nachweis","Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","has_huerde","huerde/Performance_Nachweis","Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Recyclinghaus_Hannover.md"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","has_huerde","huerde/Performance_Nachweis","Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md"
"reuse_einsatz/TRAE_High_Rise_Aarhus__004__wiederverwendete_upgecycelte_Fenster","has_huerde","huerde/Performance_Nachweis","Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\TRAE_High_Rise_Aarhus.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__007__WC_Sanit_r","has_huerde","huerde/Performance_Nachweis","Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__007__Heizk_rper","has_huerde","huerde/Performance_Nachweis","Gewährleistung / Hydraulik","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/Maison_des_Canaux_Paris__003__Sanit_rkeramik_Sanit_rteile","has_huerde","huerde/Performance_Nachweis","Gewährleistung / Hygiene","huerde/Gewaehrleistung; huerde/Hygieneanforderung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Maison_des_Canaux_Paris.md"
"reuse_einsatz/Institut_de_Botanique_ULg_Liege__001__Fassadenbekleidung_Holzfassade","has_huerde","huerde/Performance_Nachweis","Herkunft und Leistung nicht belegt","huerde/Materialqualitaet_Unklar","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Institut_de_Botanique_ULg_Liege.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","has_huerde","huerde/Performance_Nachweis","Hygiene/Gewährleistung","huerde/Gewaehrleistung; huerde/Hygieneanforderung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","huerde/Datenluecke","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__004__Fenster","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","huerde/Datenluecke","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__006__EPS_D_mmung","has_huerde","huerde/Performance_Nachweis","Leistungsnachweis","huerde/Datenluecke","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__002__Aluminium_Fassadensystem","has_huerde","huerde/Performance_Nachweis","Maßanpassung, Gestaltung, Gewährleistung","huerde/Gewaehrleistung; huerde/Kompatibilitaetsproblem; huerde/Toleranzen","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Woongroep_Boschgaard_Den_Bosch.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__009__Office_fronts_Innenverglasung","has_huerde","huerde/Performance_Nachweis","Maße/Performance","huerde/Bauproduktstatus; huerde/Toleranzen","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__011__D_mmplatten","has_huerde","huerde/Performance_Nachweis","Material- und Leistungsnachweis","huerde/Datenluecke","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__002__Fensterrahmen","has_huerde","huerde/Performance_Nachweis","Performance alter Fenster","huerde/Bauproduktstatus","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Zinneke_Feder_Masui4ever_Brussels.md"
"reuse_einsatz/Upcycle_Studios_Copenhagen__001__Fenster_Doppelverglasung","has_huerde","huerde/Performance_Nachweis","Produktdaten, Maße, Gewährleistung","huerde/Datenluecke; huerde/Gewaehrleistung; huerde/Toleranzen","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Upcycle_Studios_Copenhagen.md"
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","has_huerde","huerde/Performance_Nachweis","technische Gewährleistung","huerde/Gewaehrleistung","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"reuse_einsatz/Musee_de_Folklore_Mouscron__001__Fassadenziegel","has_huerde","huerde/Performance_Nachweis","Test-/Stabilitätsaufwand; Quellenabweichung Menge","huerde/Mengenunsicherheit","covered_by_existing_concrete_huerden","","","none","Concrete hurdle edges already exist; do not also import broad huerde/Performance_Nachweis.","Gebäude\Musee_de_Folklore_Mouscron.md"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__009__K_che_K_chenunit","has_huerde","huerde/Performance_Nachweis","nicht als loses Möbel werten","","keep_review_split_needed","","","none","Performance_Nachweis mixes barrier, proof, and requirement levels; review source before importing.","Gebäude\Superlocal_Expogebouw_Bleijerheide.md"
